book,chapter,verse_number,text
Genesis,2,17,"balet ag ka mamangan na bunga na samay kiew a mangiiter na pakaamta ed maung tan maoges. Ag nepeg a kanen so bunga na saman a kiew; ta no kanen mo, ompatey ka diad agew a pangan mo.”"
Genesis,2,18,"Insan inkuan na Katawan a Dios, “Aliwan maung a mambukbukor so too. Igawaan ko na sakey a manepeg a kaiba to tan katulongan to.”"
Genesis,2,19,"Kanyan nanmoli na dalin tan sayan minoli to ginawa ton ayayep tan manomanok. Insan to ra inyakar ed samay too, ta nengnengen to no antoy pangingaran tod sikara. No antoy impanawag tod balang sakey, sikatoy ngaran to."
Genesis,2,20,Samay too sirin initdan toy kangaranan iray amin a manok tan ayayep; balet anggapod saraya so manepeg a kaiba to tan katulongan to.
Genesis,2,21,"Insan say Katawan a Dios pinaogip toy malmalet imay too; nen naogip, angoyus na sakey ed saray taglang to may laki, insan to kinopit so laman ya angalaan to."
Genesis,2,22,"Ginawa ton bii imay taglang, insan to inyakar ed samay laki."
Genesis,2,23,"Inkuanto may laki, “A, salamat, sikato yan siansiay kaparak. Pokel ya inalad saray pokel ko, tan laman ya inalad laman ko. ‘Bii’ so ngaran to, ta inala ed laki.”"
Genesis,2,24,"Sikato ya sirin so makasengeg no akin et taynan na laki so ama to tan say ina to tan mikasakey ed asawa to, et magmaliw iran saksakey a laman."
Genesis,2,25,"Labus-lakseb imay laki tan samay asawa to, balet ag da ya imbaing."
Genesis,3,1,"Say oleg so sankasiliban ed saray amin ya ayayep a pinalsay Katawan a Dios. Tinepet na oleg ed samay bii, “Imbaga tan tua na Dios ya ag yo kanen so bunga na dinanman a kiew ed tanamanan?”"
Genesis,3,2,"Inmebat imay bii, “Nayarian min kanen so bunga na dinanman a kiew ed tanamanan,"
Genesis,3,3,"likud ed bunga to may kiew a walad pegley to. Imbagay Dios ed sikami ya ag mi kanen odino diwiten so bunga to man a kiew; no kanen mi o diwiten mi, ompatey kami.”"
Genesis,3,4,"Inkuanto may oleg, “Aliwan tua tan; ag kayo ompatey."
Genesis,3,5,"Imbagay Dios itan ta amta to a no kanen yo, magmaliw kayon singa Dios ya amta yo no anto so maung tan maoges.”"
Genesis,3,6,"Anengneng na samay bii a marakerakep imay kiew tan masamsamit a kanen so bunga to, tan sakey a pampilpilalekan a pakagamuray kakabatan. Kanyan amorbor na bunga, insan to kinan. Initdan toy asawa to, tan kinan to met."
Genesis,3,7,"Kapangan da, naitdan iray pakatalus tan naamtaan da a labus-lakseb ira; kanyan nandadait iray bolung na igos, insan da intapi-tapi."
Genesis,3,8,"Nen ngarngarem la arengel da so tanul na panaakar na Katawan a Dios ed tanamanan, kanyan inamutan dad otel na kakiewan."
Genesis,3,9,"Balet tinawag na Katawan a Dios imay laki, “Iner so kawalaan mo?”"
Genesis,3,10,"Inmebat imay laki, “Arengel ta kad tanamanan; antakot ak ta labus-lakseb ak, kanyan inamutan ta ka.”"
Genesis,3,11,"Tinepet na Dios, “Siopay angibagad sikan labus-lakseb ka? Kinan mo sirin imay bunga ya imbagak ed sikan ag mo kanen?”"
Genesis,3,12,"Inmebat imay laki, “Samay biin inter mon kaibak et inter tod siak imay bunga, insan ko kinan.”"
Genesis,3,13,"Tinepet na Katawan a Dios ed samay bii, “Akin et ginawam so ontan?” Inmebat imay bii, “Pinalikdo ak na samay oleg, et angan ak na samay bungay kiew.”"
Genesis,3,14,"Insan inkuan na Katawan a Dios ed samay oleg, “Nadusa ka lapud sayan ginawam; sika labat so nisamba ed amin da ray ayayep. Saya so dusam: Manlapud natan manilak-ilak ka, tan say dabuk so kanen mo legan mon mambilay."
Genesis,3,15,Pambosulan ta ka tan samay bii; mambosulan lawas so anak mo tan say anak to. Temeken na anak to so olom tan ketketen mo so mokur da.”
Genesis,3,16,"Inkuanto natan ed samay bii, “Aruman koy gunigon mo no manlokun ka tan nairapan ka ed pananak mo. Anggaman ontan, pampilalekan mo nin siansiay asawam tan sikatoy manoley ed sika.”"
Genesis,3,17,"Inkuantod samay laki, “Dinengel moy asawam tan kinan moy prutas ya imbagak ed sikan ag mo kanen. Lapud sayan ginawam, nisambay dalin. Nakaukolan a mansagput kay baleg legan mon mambilay, pian mangiter so dalin na malaem a taganom."
Genesis,3,18,"Patuboen to ray dika-rika tan sabisabit, tan mangan ka ray tantanaman a balang."
Genesis,3,19,"Nakaukolan moy manlinget tan mansagput na baleg, pian makaiter so dalin na antokaman a napambilay ya anggad ipatey tan ipawil mod dalin a nanlapwan mo. Nanlapu kad dalin, tan magmaliw ka lamet a dalin.”"
Genesis,3,20,"Eva so impangingaran nen Adan ed samay asawa to, ta sikatoy ina na amin a katoowan."
Genesis,3,21,"Insan say Katawan a Dios nanggawa na saray kawes a katat a para si Adan tan samay asawa to, tan kinawesan to ra."
Genesis,3,22,"Insan inkuan na Katawan a Dios, “Nagmaliw la a singa sakey ed sikatayo so too, tan wala lay pakaamta tod maung tan maoges. Nakaukolan a sebelan a mangala na bungay kiew na bilay, ta no mangala tan mangan, mambilay ya anggad angga.”"
Genesis,3,23,"Kanyan say Katawan a Dios pinataynan tod tanamanan na Eden imay too, pian nadalusan toy dalin a nanlapwan na laman to."
Genesis,3,24,"Diad bandad bokig na tanamanan na Eden angipasen na saray kirubin tan sakey a mandarlang ya ispada a manwasiwas ed amin a dapag, pian anggapoy makaasingger ed samay kiew na bilay."
Genesis,4,1,"Inakdulan nen Adan si Eva ya asawa to. Nanlokun si Eva tan nananak na sakey a laki. “Diad tulong na Katawan ,” kuanen Eva, “akaanak ak na sakey a laki.” Kanyan inngaran to na Cain imay ogaw."
Genesis,4,2,"Et nananak lamet na sakey a laki a si Abel. Nagmaliw a pumapastol si Abel, balet sakey a dumaralus si Cain."
Genesis,4,3,"Kalabas na pigaran taon, angyakar si Cain na pigaran naani to tan imbagat tod Katawan ."
Genesis,4,4,"Insan angyakar met si Abel na kordiron besag na sakey ed saray karniro to, pinatas to, tan imbagat to ray sankaabigan a parti. Akaliket so Dios ed kinen Abel tan samay bagat to,"
Genesis,4,5,balet ag akaliket ed kinen Cain tan samay bagat to. Mapalaloy pasnuk nen Cain tan binmilonget so lupa to.
Genesis,4,6,"Inkuan na Katawan ed kinen Cain, “Akin et mamapasnuk ka? Akin et ambilonget so lupam?"
Genesis,4,7,"No maung so ginawam, manimimis ka komun; balet lapud maoges so ginawam, say kasalanan et sisiliban to kan tekmelan. Labay to kan oleyan, balet nepeg mon taloen.”"
Genesis,4,8,"Insan inkuanen Cain ed kinen agi ton Abel, “Mamasyar ta ed kaalogan.” Nen wadman la ra, tinekmelan nen Cain si agi to tan pinatey to."
Genesis,4,9,"Tinepet na Katawan ed kinen Cain, “Kawalaan nen Abel ya agim?” Inmebat, “Ag ko amta. Siak tay managasikasod agik?”"
Genesis,4,10,"Insan inkuan na Katawan , “Akin et onyay ginawam? Manlapud dalin, manakakis ed siak so dala na agim; singa bosis ya onkekerew na bales."
Genesis,4,11,Nisamba ka; ag mo la nadalusan so dalin a singa inlokas toy sangi to nen inesep toy dala na agim a pinatey mo.
Genesis,4,12,"No ondalus ka, anggapoy naanim; magmaliw kan anggapoy abung tan akar-akar ka diad tapew na dalin.”"
Genesis,4,13,"Inkuanen Cain ed Katawan , “Ambelat a tuloy yan dusa; ag ko nasungdoan."
Genesis,4,14,"Patataynanen mo ak ed dalin tan diad arap mo. Magmaliw ak ya anggapoy abung tan akar-akar diad tapew na dalin, tan pateyen ak na siopaman a makalmod siak.”"
Genesis,4,15,"Balet inmebat so Katawan , “Andi! No walay mamatey ed sika, pitoran totoo so pateyen a pinagkabales to.” Kanyan minarkaan na Katawan si Cain a pamasakbay ton ag pateyen na siopaman a makabet ed sikato."
Genesis,4,16,"Tinmaynan si Cain ed arap na Katawan tan nanayam ed dalin a tatawagey “Akar-akar,” diad bokig na Eden."
Genesis,4,17,"Inakdulan nen Cain so asawa to, et nanlokun tan inngaran toy Enoc. Insan amaalagey na siudad si Cain tan inngaran tod ngaran na sayan anak to."
Genesis,4,18,"Walay lakin anak nen Enoc a manngaray Irad ya ama nen Mehujael, say ama nen Metusael ya ama nen Lamec."
Genesis,4,19,"Duaray inasawa nen Lamec, si Ada tan si Zilla."
Genesis,4,20,Inyanak nen Ada si Jabal a sengeg na boleg da ray totoon walaan na ayayep tan diad saray tulda so panaayaman da.
Genesis,4,21,Say agi to si Jubal a sengeg na boleg da ray managtogtog na arpa tan plauta.
Genesis,4,22,Inyanak nen Zilla si Tubal-cain a nanggawa na amin a klasiy kagawaan a gansa tan balatyang. Say biin agi nen Tubal-cain et si Naama.
Genesis,4,23,"Inkuanen Lamec ed saramay asawa to, “Ada tan Zilla, dengel yo ak: Pinatey koy sakey a lakin tubon-balo, ta kinabil to ak a sinugatan."
Genesis,4,24,"No pitoran totoo so pateyen a pinagkabales na impamatey ed kinen Cain, Pitomplo tan pito a totoo so pateyen a pinagkabales na pamatey ed siak.”"
Genesis,4,25,"Inakdulan nen Adan so asawa to, et nananak na sakey a laki ya inngaran to na Set. Inkuan na asawa to, “Initdan ak na Dios na anak ya onsalat ed kinen Abel a pinatey nen Cain.”"
Genesis,4,26,"Walay anak nen Set ya inngaran to na Enos. Diad sayan panaon, inggapo na katoowan so ontawag ed masanton ngaran a Yahweh."
Genesis,5,1,"Sikato yay listaan na saray kabyangay boleg nen Adan. (Nen pinalsay Dios so too, ginawa ton kaolibay to."
Genesis,5,2,"Pinalsa to ran laki tan bii, binindisionan to ra, tan tinawag to ra na “Katoowan.”)"
Genesis,5,3,"Nen sanlasus tan talomploy taon nen Adan, walay anak ton laki a kaolibay to, tan inngaran to na Set."
Genesis,5,4,"Kasumpal to ya, nambilay niy Adan na walon lasus taon. Wala ni ray arum ya anak ton lalaki tan bibii,"
Genesis,5,5,tan inatey nen mantaoy siam a lasus tan talomplo.
Genesis,5,6,"Nen sanlasus tan limay taon nen Set, walay anak ton laki a si Enos,"
Genesis,5,7,"tan nambilay ni na walon lasus tan pitoy taon. Wala ni ray arum ya anak ton lalaki tan bibii,"
Genesis,5,8,tan inatey nen mantaoy siam a lasus tan labindua.
Genesis,5,9,"Nen siamaploy taon nen Enos, walay anak ton laki a si Kenan,"
Genesis,5,10,"tan nambilay ni na walon lasus tan labin limay taon. Wala ni ray arum ya anak ton lalaki tan bibii,"
Genesis,5,11,tan inatey nen mantaoy siam a lasus tan lima.
Genesis,5,12,"Nen pitomploy taon nen Kenan, walay anak ton laki a si Mahalalel,"
Genesis,5,13,"tan nambilay ni na walon lasus tan apataploy taon. Wala ni ray arum ya anak ton lalaki tan bibii,"
Genesis,5,14,tan inatey nen mantaoy siam a lasus tan samplora.
Genesis,5,15,"Nen anemaplo tan limay taon nen Mahalalel, walay anak ton laki a si Jared,"
Genesis,5,16,"tan nambilay ni na walon lasus tan talomploy taon. Wala ni ray arum ya anak ton lalaki tan bibii,"
Genesis,5,17,tan inatey nen mantaoy walon lasus tan siamaplo tan lima.
Genesis,5,18,"Nen sanlasus tan anemaplo tan duay taon nen Jared, walay anak ton laki a si Enoc,"
Genesis,5,19,"tan nambilay ni na walon lasus. Wala ni ray arum ya anak ton lalaki tan bibii,"
Genesis,5,20,tan inatey nen mantaoy siam a lasus tan anemaplo tan dua.
Genesis,5,21,"Nen anemaplo tan limay taon nen Enoc, walay anak ton laki a si Matusalem."
Genesis,5,22,"Kasumpal to ya, nambilay si Enoc na talon lasus taon a kaibiba toy Dios, tan wala ni ray arum ya anak ton lalaki tan bibii."
Genesis,5,23,Nambilay si Enoc na talon lasus tan anemaplo tan limay taon.
Genesis,5,24,"Nambilay a kaiba toy Dios, insan naandipat, ta inalay Dios."
Genesis,5,25,"Nen sanlasus tan walomplo tan pitoy taon nen Matusalem, walay anak ton laki a si Lamec,"
Genesis,5,26,"tan nambilay ni na piton lasus tan walomplo tan duay taon. Wala ni ray arum ya anak ton lalaki tan bibii,"
Genesis,5,27,tan inatey nen mantaoy siam a lasus tan anemaplo tan siam.
Genesis,5,28,"Nen sanlasus tan walomplo tan duay taon nen Lamec, walay anak ton laki"
Genesis,5,29,"tan inkuanto, “Itdan to itayo na sayan ogaw na inawa ed amin da ray mairap a kimey tayo ed sayan dalin ya insamba na Katawan ”; kanyan inngaran to na Noe."
Genesis,5,30,"Nambilay ni si Lamec na liman lasus tan siamaplo tan limay taon. Wala ni ray arum ya anak ton lalaki tan bibii,"
Genesis,5,31,tan inatey nen mantaoy piton lasus tan pitomplo tan pito.
Genesis,5,32,"Kayariy liman lasus taon nen Noe, nanilalak na taloran lalaki a di Sem, Ham, tan Jafet."
Genesis,6,1,"Nen ondarakel la ray katoowan tan akayatan da lay intiron mundo, dakel met la ray nianak a bibii."
Genesis,6,2,"Saray anak na Dios anengneng dan maganggana ra yan bibii, kanyan nampili ray inasawa ra."
Genesis,6,3,"Insan inkuan na Katawan , “Ag ko iyabuloy a mambilay ya anggad angga iray katoowan; ompatey ira. Manlapud natan, mambilay iray ag onsoluk ed sanlasus tan duamploy taon.”"
Genesis,6,4,"Diad saraman ya agew, tan anggan diad saray ontombuk, wala ray alan a manaayam ed dalin ya anak ira na saramay magangganan bibii tan saramay anak na Dios. Sikaray matalonggaring a bayani tan bantug a lalaki nen saman a panaon."
Genesis,6,5,"Nen anengneng na Katawan so ontan lan kaogsan na amin a totoo ed tapew na dalin, say ontan lan kinaoges lawas na kanunotan da,"
Genesis,6,6,"naermenan ed impamalsa tod totoo tan diad impangipasen tod sikara ed tapew na dalin. Diad ontan lan pagbabawi to,"
Genesis,6,7,"inkuanto, “Paandipaten kod tapew na dalin ira yan totoo a pinalsak, saray ayayep, tan saray manok, ta maermen ak ed impamalsak ed sikara.”"
Genesis,6,8,Balet pakaliliketan na Katawan si Noe.
Genesis,6,9,"Saya so impanbilay nen Noe. Wala ray taloran anak ton lalaki a di Sem, Ham, tan Jafet."
Genesis,6,10,"Si Noe labat so maung a too nen panaon to. Anggapoy pakabalawan ed sikato, ta kaibiba toy Dios."
Genesis,6,11,"Balet maoges ya amin iray arum a totoo, tan kinmayat so kaogsan ed amin a pasen."
Genesis,6,12,"Say Dios ninmengneng ed mundo tan anengneng ton maoges, lapud maoges so pambibilay na amin a katoowan."
Genesis,6,13,"Inkuan na Dios ed kinen Noe, “Tinibokel ko lad kanunotan ko a panganggaen koy bilay na amin a katoowan. Sigput ko ran deralen, ta napnoy mundo na maoges a gawgawa ra."
Genesis,6,14,"Manggawa kay biong para sika; ikanam so maung a klasiy kiew, igawaan mo na saray kuarto, tan balkut mo na alkitran ed loob tan diad paway to."
Genesis,6,15,"Gawam a sanlasus tan limamplon mitro so karokey to, duamplo tan liman mitro so kaawang to, tan labinliman mitro so kaatagey to."
Genesis,6,16,"Igawaan moy atep, tan iyatagey mod saray dingding to na kapalduay mitro. Gawam a taloran grado, tan igawaan moy sakey a puirta ed diking to."
Genesis,6,17,"Delapen koy intiron dalin, pian naderal so antokaman a mabilay. Ompatey ya amin iray walad tapew na dalin,"
Genesis,6,18,"balet misipanan ak ed sika. Loob kayod samay biong, sika tan say asawam, saray anak mo tan saray kaasawaan da."
Genesis,6,19,"Pian mambilay ira, mangawit kad biong na sankaparis ed amin a klasiy ayayep,"
Genesis,6,20,tan sankaparis ed amin a klasiy manok.
Genesis,6,21,Mangawit ka met na amin a klasiy kakanen a para sikayo tan sikara.”
Genesis,6,22,Sinumpal nen Noe ya amin iray ingganggan na Dios.
Genesis,7,1,"Inkuan na Katawan ed kinen Noe, “Loob kad biong, sika tan amin a kabyangay pamilyam, ta nalmoan ko a diad intiron mundo sika labat so matonung ed arap ko."
Genesis,7,2,"Mangawit kay pitoran kaparis ed amin a klasiy ayep a malinis, balet sankaparis labat ed amin a klasiy ayep a marotak."
Genesis,7,3,"Mangawit ka met na pitoran kaparis na balang klasiy manok. Gawam ya, pian amin a klasiy ayep tan manok et nabilay ira tan walay napanmonatan ed intiron tapew na dalin."
Genesis,7,4,"Pitoy agew ni, manlapud natan, paoranen ko ed loob na apataploy agew tan apataploy labi, pian naderal ya amin iray mabilay a pinalsak ed tapew na dalin.”"
Genesis,7,5,Sinumpal nen Noe ya amin iray ingganggan na Katawan .
Genesis,7,6,Anem a lasus so taon nen Noe nen adelap so mundo.
Genesis,7,7,"Sikato tan say asawa to, saray anak ton lalaki tan saray kaasawaan da et linmoob irad biong, pian ag ira ompatey ed delap."
Genesis,7,8,"Onung na ingganggan na Dios ed Noe, akilad kinen Noe diad dalem na biong iray sankaparis ed amin a klasiy ayep tan manok,"
Genesis,7,9,malinis man o marotak onung ed ganggan.
Genesis,7,10,"Kalabas na pitoy agew, sinmabiy delap."
Genesis,7,11,"Nen mantaon si Noe na anem a lasus taon, diad kumalabimpiton agew na kumadwan bulan, sinmasangi ray dalin tan pinmapaway iray ankakabaleg a sobul ed dalem na dalin tan linmokas ya amin iray puirtay tawen,"
Genesis,7,12,tan inmoran ed dalin na apataploy agew tan apataploy labi.
Genesis,7,13,"Diad saman ya agew, si Noe tan say asawa to et linmoob irad biong a kaiba da ray anak dan lalaki a di Sem, Ham, Jafet, tan saray kaasawaan da."
Genesis,7,14,"Kaiba ra met ya amin iray klasiy ayep, atap man o amo, baleg man o melag, tan amin a klasiy manok."
Genesis,7,15,"Onung na ingganggan na Dios, sankaparis ed amin a klasiy mabilay a pinalsa"
Genesis,7,16,iray kaiba nen Noe a linmoob ed biong. Insan kinaputan na Katawan si Noe ed dalem na biong.
Genesis,7,17,"Ag tinmondan inmaralem so delap ed loob na apataploy agew, ya anggad linmetaw imay biong."
Genesis,7,18,"Inmaralem niy danum, tan manletletaw imay biong."
Genesis,7,19,Inmaralem lan inmaralem tan asalinap ton amin iray sankaatageyan a palandey;
Genesis,7,20,siansian inmaralem ya anggad pitoran mitroy kaatagey tod toktok na saray palandey.
Genesis,7,21,"Inatey ya amin iray pinalsan mabilay ed tapew na dalin—amin a manok, amin ya ayep, tan amin a too."
Genesis,7,22,Inatey ira yan amin sirin.
Genesis,7,23,"Dineral na Katawan ya amin iray mabilay ed tapew na dalin—saray totoo, saray ayayep, tan saray manok. Si Noe tan saray kaiba tod dalem na biong so mabilay labat."
Genesis,7,24,Ag inmabebay danum ya anggad kalabas na sanlasus tan limamplon agew.
Genesis,8,1,"Ag alingwanan na Dios si Noe tan amin ya ayep a kaiba tod dalem na biong; pinasiplug na Dios so dagem, et ginmapon inmabebay danum."
Genesis,8,2,"Kinmopit ira may sinmasangin dalin, et tinmondan pinmaway iray sobul ed dalem na dalin tan kinmaput iray puirtay tawen. Tinmonday oran,"
Genesis,8,3,tan diad loob na sanlasus tan limamploy agew nankalkalnan inmabebay danum.
Genesis,8,4,"Diad kumalabimpiton agew na kumapiton bulan, sinmarsar ed palandey na Ararat imay biong."
Genesis,8,5,"Tuloy-tuloy ya inmabebay danum, tan diad onaan ya agew na kumaplon bulan pinmaway iray toktok na kapalandeyan."
Genesis,8,6,"Kasumpal na apataplon agew inlokas nen Noe so sakey a bintana a ginawa to,"
Genesis,8,7,"ta imbolus toy sakey a wawak. Ag pinmawil, no ag ta nantikyab lan nantikyab ya anggad amaga lay dalin."
Genesis,8,8,"Legan to ya, imbolus toy sakey a malapati, ta nengnengen to no inmabeba lay danum."
Genesis,8,9,"Balet lapud wala niy danum ed intiron dalin, anggapoy natoonan to may malapati. Kanyan pinmawil ed biong, siningkat nen Noe tan inloob to lamet."
Genesis,8,10,"Nanalagar na pitoy agew, insan pinatikyab to lamet imay malapati."
Genesis,8,11,Pinmawil na labi a sankatangal toy sakey a balon bolung na oliba. Naamtaan ed satan nen Noe ya ataptapew lay danum.
Genesis,8,12,"Nanalagar ni na pitoy agew, insan to pinatikyab lamet imay malapati; natan ag la pinmawil."
Genesis,8,13,"Nen mantaon si Noe na anem a lasus tan sakey, diad ononan agew na onaan a bulan, anggapo lay delap. Inekal toy tarung na biong, ninengneng toy kaliber-liber, tan anengneng ton namamagaan lay dalin."
Genesis,8,14,"Diad kumaduamplo tan pitoy agew na kumadwan bulan, amaga lay dalin."
Genesis,8,15,"Inkuan na Dios ed kinen Noe,"
Genesis,8,16,"“Paway ka lad biong, pati say asawam, saray anak mon lalaki, tan saray kaasawaan da."
Genesis,8,17,"Papaway mo met la ra may manok tan saramay ayayep, ta mamparakel ira tan onkayat irad intiron mundo.”"
Genesis,8,18,"Pinmaway la sirin si Noe, pati say asawa to, saray anak ton lalaki, tan saray kaasawaan da."
Genesis,8,19,Pinmaway met ira may ayayep tan saramay manok a nanoolup so balang klasi.
Genesis,8,20,Nanggaway Noe na altar a para Katawan ; angalay sakey ed balang klasi na saray manok tan saray ayayep a malinis onung ed ganggan tan insaklang to ran bagat a popoolan ed altar.
Genesis,8,21,"Akapaliket ed Katawan so naangub ton balingit na samay bagat, kanyan inkuantod sikaton dili, “Ag ko lan balut isambay dalin lapud saray gagawaey too; amtak a manlapud ogaw ni, maoges lay kanunotan to. Ag ko lan balut deralen ya amin iray pinalsan mabilay a singa ginawak."
Genesis,8,22,"Anggad wala niy mundo, walan walay panaon na panagtanem tan panaon na panagani, walay panaon na ambetel tan say panaon na ampetang, say tiagew tan say nepnep, say agew tan say labi.”"
Genesis,9,1,"Si Noe tan saray anak ton lalaki et binindisionan ira na Dios ya inkuanto, “Mamparakel kayoy anak, pian nakayatan day intiron mundo."
