book,chapter,verse,text_Tagalog,text_Cebuano
Genesis,1,11,"Sinabi ng Diyos, “Sibulan ang lupa ng halaman, ng mga tanim na nagkakabinhi at ng punungkahoy na namumunga ayon sa kanyang binhi, ang bawat isa ayon sa kanyang uri sa ibabaw ng lupa.” At ito ay nangyari.","Ug miingon ang Dios, “Magpaturok ug mga tanom ang yuta, mga tanom nga maghatag ug liso, ug mga kahoy nga maghatag ug bunga nga anaa ang binhi, ang matag usa sumala sa matang niini diha sa yuta.” Ug nahimo kini."
Genesis,1,12,"At ang lupa ay sinibulan ng halaman, ng mga tanim na nagkakabinhi ayon sa kanyang sariling uri at ng punungkahoy na namumunga ayon sa kanyang binhi, bawat isa ayon sa kanyang uri. At nakita ng Diyos na ito ay mabuti.","Busa ang yuta nagpaturok ug mga tanom, mga tanom nga naghatag ug liso, sumala sa matang niini, ug mga kahoy nga naghatag ug bunga nga anaa ang binhi niini, sumala sa mga matang niini. Ug nakita sa Dios nga kini maayo."
Genesis,1,13,Nagkaroon ng gabi at nagkaroon ng umaga nang ikatlong araw.,"Dihay kagabhion ug dihay kabuntagon, ikatulo nga adlaw."
Genesis,1,14,"Sinabi ng Diyos, “Magkaroon ng mga tanglaw sa kalawakan ng langit upang ihiwalay ang araw sa gabi; at ang mga ito ay maging palatandaan para sa mga panahon, sa mga araw, at sa mga taon,","Unya ang Dios miingon, “Mahimo ang mga kahayag diha sa wanang sa kalangitan aron sa paglain sa adlaw gikan sa gabii, ug mahimo nga ilhanan alang sa mga panahon alang sa mga adlaw ug sa mga tuig,"
Genesis,1,15,at ang mga ito ay maging tanglaw sa kalawakan ng langit upang tumanglaw sa ibabaw ng lupa.” At ito ay nangyari.,ug mahimo sila nga mga kahayag diha sa wanang sa kalangitan aron paghatag ug kahayag ibabaw sa yuta.” Ug nahimo kini.
Genesis,1,16,Nilikha ng Diyos ang dalawang malalaking tanglaw; ang malaking tanglaw ay upang maghari sa araw at ang maliit na tanglaw ay upang maghari sa gabi. Nilikha rin niya ang mga bituin.,"Busa gibuhat sa Dios ang duha ka dagkong kahayag: ang labaw ug kahayag magdan-ag panahon sa adlaw ug ang gamay ug kahayag magdan-ag panahon sa gabii, ug gibuhat usab niya ang mga bituon."
Genesis,1,17,"Ang mga ito ang inilagay ng Diyos sa kalawakan ng langit upang tumanglaw sa ibabaw ng lupa,","Gibutang sila sa Dios diha sa wanang sa kalangitan aron maghatag ug kahayag sa yuta,"
Genesis,1,18,"upang mamahala sa araw at sa gabi, at upang ihiwalay ang liwanag sa kadiliman. At nakita ng Diyos na ito ay mabuti.","aron maggahom panahon sa adlaw ug sa gabii, ug aron sa paglain sa kahayag gikan sa kangitngit. Ug nakita sa Dios nga kini maayo."
Genesis,1,19,Lumipas ang gabi at sumapit ang umaga nang ikaapat na araw.,"Dihay kagabhion ug dihay kabuntagon, ikaupat nga adlaw."
Genesis,1,20,"Sinabi ng Diyos, “Hayaang bumukal mula sa tubig ang maraming nilalang na may buhay, at magsilipad ang mga ibon sa ibabaw ng lupa sa kalawakan ng langit.”","Unya ang Dios miingon, “Mapuno ang katubigan sa daghan nga buhing binuhat ug manglupad ang kalanggaman sa ibabaw sa yuta diha sa wanang sa kalangitan.”"
Genesis,1,21,"Kaya't nilikha ng Diyos ang mga dambuhala sa dagat at ang bawat nilalang na may buhay na gumagalaw na ibinukal ng tubig ayon sa kanya-kanyang uri at ang lahat ng ibong may pakpak, ayon sa kanya-kanyang uri. At nakita ng Diyos na ito ay mabuti.","Busa gibuhat sa Dios ang dagkong mga mananap sa dagat ug ang tanang buhing binuhat nga naglihok nga milukop sa katubigan, sumala sa ilang mga matang ug ang tanang langgam nga may pako, sumala sa ilang mga matang. Ug nakita sa Dios nga kini maayo."
Genesis,1,22,"At sila'y binasbasan ng Diyos, “Kayo'y magkaroon ng mga anak at magpakarami at inyong punuin ang tubig sa mga dagat, at magpakarami ang mga ibon sa lupa.”","Gipanalanginan sila sa Dios nga nag-ingon, “Sanay ug panaghan kamo ug lukpa ninyo ang tubig sa kadagatan ug managhan ang mga langgam diha sa yuta.”"
Genesis,1,23,Nagkaroon ng gabi at nagkaroon ng umaga nang ikalimang araw.,"Dihay kagabhion ug dihay kabuntagon, ikalima nga adlaw."
Genesis,1,24,"Sinabi ng Diyos, “Magkaroon ang lupa ng mga buháy na nilalang, ayon sa kanya-kanyang uri: ng mga hayop at mga nilalang na gumagapang, at ng maiilap na hayop sa lupa ayon sa kanya-kanyang uri.” At ito ay nangyari.","Unya ang Dios miingon, “Motungha diha sa yuta ang mga buhing binuhat sumala sa ilang mga matang, mga kahayopan, ug mga mananap sa yuta nga nagkamang ug mga ihalas nga mananap sumala sa ilang mga matang.” Ug nahimo kini."
Genesis,1,25,"Nilikha ng Diyos ang maiilap na hayop sa lupa ayon sa kani-kanilang uri, at maaamong hayop ayon sa kani-kanilang uri, at ang bawat gumagapang sa ibabaw ng lupa ayon sa kanilang uri. At nakita ng Diyos na ito ay mabuti.","Busa gibuhat sa Dios ang mga mananap sa yuta sumala sa ilang mga matang, ug ang kahayopan sumala sa ilang mga matang ug ang tanang mga mananap nga nagkamang sa yuta sumala sa ilang mga matang. Ug nakita sa Dios nga kini maayo."
Genesis,1,26,"Sinabi ng Diyos, “Lalangin natin ang tao sa ating larawan, ayon sa ating wangis; at magkaroon sila ng pamamahala sa mga isda sa dagat, sa mga ibon sa himpapawid, sa mga hayop, sa buong lupa, at sa bawat gumagapang sa ibabaw ng lupa.”","Unya ang Dios miingon, “Buhaton nato ang tawo sumala sa atong dagway, ingon nga sama kanato. Sila ang maggahom ibabaw sa mga isda sa dagat ug sa mga langgam sa kahanginan, ug sa tanang kahayopan ug sa tanang ihalas nga mananap sa kalibotan ug sa tanan nga nagkamang sa yuta.”"
Genesis,1,27,"Kaya't nilalang ng Diyos ang tao ayon sa kanyang sariling larawan, ayon sa larawan ng Diyos siya nilalang. Sila'y kanyang nilalang na lalaki at babae.","Busa gibuhat sa Dios ang tawo sumala sa iyang kaugalingong dagway, sumala sa dagway sa Dios gibuhat niya sila, lalaki ug babaye iyang gibuhat sila."
Genesis,1,28,"Sila'y binasbasan ng Diyos at sa kanila'y sinabi ng Diyos, “Kayo'y magkaroon ng mga anak at magpakarami, punuin ninyo ang lupa at supilin ninyo ito. Magkaroon kayo ng pamamahala sa mga isda sa dagat, sa mga ibon sa himpapawid, at sa bawat bagay na may buhay na gumagalaw sa ibabaw ng lupa.”","Ug gipanalanginan sila sa Dios, ug ang Dios miingon kanila, “Sanay kamo ug panaghan, ug lukpa ang yuta ug dumalaha kini ug kamo ang maggahom ibabaw sa mga isda sa dagat, ug sa mga langgam sa kalangitan, ug sa tanan nga buhing binuhat nga naglihok sa ibabaw sa yuta.”"
Genesis,1,29,"Sinabi ng Diyos, “Tingnan ninyo, ibinigay ko sa inyo ang bawat halaman na nagkakabinhi na nasa ibabaw ng lupa, at ang bawat punungkahoy na may binhi sa loob ng bunga; ang mga ito ay magiging pagkain ninyo.","Ug ang Dios miingon, “Tan-awa, akong gihatag kaninyo ang tanang tanom nga naghatag ug binhi nga anaa sa tibuok nga yuta, ug ang tanang kahoy nga may bunga nga naghatag ug binhi. Inyo na kini alang sa inyong pagkaon."
Genesis,1,30,"Sa bawat mailap na hayop sa lupa, at sa bawat ibon sa himpapawid, at sa bawat gumagapang sa ibabaw ng lupa, sa bawat bagay na may hininga ng buhay ay ibinigay ko ang lahat ng halamang luntian bilang pagkain.” At ito ay nangyari.","Ug alang sa tanang mananap sa yuta ug sa tanang langgam sa kalangitan, ug sa tanang nagkamang sa yuta, alang sa tanan nga adunay kinabuhi, gihatag nako ang tanang tanom nga lunhaw aron ilang kaonon.” Ug nahimo kini."
Genesis,1,31,Nakita ng Diyos ang lahat ng kanyang nilikha at ito ay napakabuti. Nagkaroon ng gabi at nagkaroon ng umaga nang ikaanim na araw.,"Ug nakita sa Dios ang tanang butang nga iyang gihimo, ug tan-awa, kini maayo kaayo. Dihay kagabhion ug dihay kabuntagon, ikaunom nga adlaw."
Genesis,2,1,"Nayari ang langit at ang lupa, at ang lahat ng mga bagay sa mga iyon.",Busa ang kalangitan ug ang yuta nahuman pagbuhat ug ang tanang panon niini.
Genesis,2,2,"Nang ikapitong araw ay natapos ng Diyos ang gawain na kanyang ginawa, at nagpahinga siya nang ikapitong araw mula sa lahat ng gawaing kanyang ginawa.",Ug sa ikapito nga adlaw natapos sa Dios ang buhat nga iyang gihimo. Ug mipahulay siya sa ikapito nga adlaw gikan sa tanan niyang buhat nga iyang nahimo.
Genesis,2,3,"At binasbasan ng Diyos ang ikapitong araw at kanyang ginawang banal, sapagkat sa araw na iyon ay nagpahinga ang Diyos sa lahat ng gawain na kanyang ginawa.",Ug gipanalanginan sa Dios ang ikapito nga adlaw ug gibalaan kini tungod kay niini mipahulay ang Dios gikan sa tanan niyang buhat nga iyang gihimo sa iyang pagpamuhat.
Genesis,2,4,"Ito ang kasaysayan tungkol sa langit at lupa, sa araw na likhain ng Panginoong Diyos ang langit at lupa. Ang Halamanan ng Eden","Kini mao ang mga sinugdan sa kalangitan ug sa yuta sa dihang gibuhat kini. Sa adlaw nga gibuhat sa Ginoong Dios ang yuta ug ang langit,"
Genesis,2,5,"Nang sa lupa ay wala pang tanim sa parang, at wala pang damo na tumutubo sa parang,—sapagkat hindi pa nagpapaulan ang Panginoong Diyos sa lupa at wala pang taong nagbubungkal ng lupa,","wala pay tanom sa kapatagan diha sa yuta ug wala pay mga tanom nga nanurok sa kapatagan kay ang Ginoong Dios wala pa magpaulan sa ibabaw sa yuta, ug wala pay tawo nga mouma sa yuta."
Genesis,2,6,ngunit may isang ulap na pumaitaas buhat sa lupa at dinilig ang buong kapatagan ng lupa.,Apan dihay tubig nga mibuswak gikan sa yuta ug mipatubig sa tibuok yuta.
Genesis,2,7,"At nilalang ng Panginoong Diyos ang tao mula sa alabok ng lupa, at hiningahan ang mga butas ng kanyang ilong ng hininga ng buhay; at ang tao ay naging buháy na kaluluwa.","Ug giumol sa Ginoong Dios ang tawo nahimo nga gikan sa abog sa yuta ug gihuyop niya ngadto sa ilong niini ang gininhawa sa kinabuhi, ug ang tawo nahimo nga buhing binuhat."
Genesis,2,8,"Naglagay ang Panginoong Diyos ng isang halamanan sa silangan ng Eden, at inilagay niya roon ang taong kanyang nilalang.",Ug ang Ginoong Dios nagbuhat ug usa ka tanaman sa silangan sa Eden ug gibutang niya didto ang tawo nga iyang giumol.
Genesis,2,9,"At pinatubo ng Panginoong Diyos sa lupa ang lahat ng punungkahoy na nakakalugod sa paningin, at mabuting kainin; gayundin ang punungkahoy ng buhay sa gitna ng halamanan, at ang punungkahoy ng pagkaalam ng mabuti at masama.",Ug gipaturok sa Ginoong Dios gikan sa yuta ang tanan nga kahoy nga matahom nga tan-awon ug maayo nga kaonon. Diha usab sa taliwala sa tanaman ang kahoy sa kinabuhi ug ang kahoy sa kahibalo sa maayo ug sa daotan.
Genesis,2,10,"May isang ilog na lumabas mula sa Eden upang diligin ang halamanan, at mula roo'y nahati at naging apat na ilog.","Ug dihay usa ka suba nga midagayday gikan sa Eden, ang usa ka suba aron sa pagpatubig sa tanaman, ug gikan didto nabahin kini ug nahimong upat ka suba."
Genesis,2,11,"Ang pangalan ng una ay Pishon na siyang umaagos sa palibot ng buong lupain ng Havila, na doo'y may ginto;","Ang ngalan sa usa Pison. Kini mao ang naglibot sa tibuok nga yuta sa Habila diin adunay bulawan,"
Genesis,2,12,at ang ginto sa lupang iyon ay mabuti; mayroon doong bedelio at batong onix.,ug ang bulawan niadtong yutaa maayo; didto usab may bedelio ug bato nga onyx.
Genesis,2,13,Ang pangalan ng ikalawang ilog ay Gihon; na siyang umaagos sa palibot ng buong lupain ng Cus.,Ug ang ngalan sa ikaduha nga suba Gihon. Kini mao ang naglibot sa tibuok nga yuta sa Cus.
Genesis,2,14,Ang pangalan ng ikatlong ilog ay Tigris na siyang umaagos sa silangan ng Asiria. At ang ikaapat na ilog ay ang Eufrates.,Ug ang ngalan sa ikatulo nga suba Hidekel. Kini midagayday sa silangan sa Asiria. Ug ang ikaupat nga suba mao ang Eufrates.
Genesis,2,15,Kinuha ng Panginoong Diyos ang lalaki at inilagay sa halamanan ng Eden upang ito ay kanyang bungkalin at ingatan.,Gikuha sa Ginoong Dios ang tawo ug gibutang sa tanaman sa Eden aron mag-atiman ug magbantay niini.
Genesis,2,16,"At iniutos ng Panginoong Diyos sa lalaki, na sinabi, “Malaya kang makakakain mula sa lahat ng punungkahoy sa halamanan,","Ug ang Ginoong Dios nagsugo sa tawo, nga nag-ingon, “Makakaon ikaw gikan sa tanan nga kahoy sa tanaman,"
Genesis,2,17,subalit mula sa punungkahoy ng pagkakilala ng mabuti at masama ay huwag kang kakain; sapagkat sa araw na ikaw ay kumain niyon ay tiyak na mamamatay ka.”,"apan sa kahoy sa kahibalo sa maayo ug sa daotan, ayaw pagkaon niini kay sa adlaw nga mokaon ikaw niini, mamatay ka gayod.”"
Genesis,2,18,"At sinabi ng Panginoong Diyos, “Hindi mabuti na ang lalaki ay nag-iisa; siya'y igagawa ko ng isang katuwang na nababagay sa kanya.”","Ug miingon ang Ginoong Dios, “Dili maayo nga ang tawo mag-inusara; buhatan nako siya ug kaabag nga angay kaniya.”"
Genesis,2,19,Kaya't mula sa lupa ay nilalang ng Panginoong Diyos ang lahat ng hayop sa parang at ang lahat ng ibon sa himpapawid; at dinala sa lalaki upang malaman kung anong itatawag niya sa mga iyon. At anuman ang itawag ng lalaki sa bawat buháy na nilalang ay siyang pangalan nito.,"Ug giumol sa Ginoong Dios gikan sa yuta ang tanang mga mananap sa kapatagan ug ang tanan nga langgam sa kalangitan, ug gidala niya sila ngadto sa tawo aron makita niya kon unsay ingalan niya kanila. Ug ang tanan nga gingalan sa tawo sa mga mananap nga buhi, mao na ang ngalan niini."
Genesis,2,20,"At pinangalanan ng lalaki ang lahat ng hayop at ang mga ibon sa himpapawid, at ang bawat hayop sa parang; subalit para sa lalaki ay walang nakitang katuwang na nababagay para sa kanya. Nilalang ang Babae mula sa Lalaki",Gihatagan sa tawo ug mga ngalan ang tanan nga kahayopan ug ang mga langgam sa kalangitan ug ang tanan nga mga mananap sa kapatagan apan alang sa tawo walay nakaplagan nga katabang nga angay kaniya.
Genesis,2,21,"Kaya't pinatulog nang mahimbing ng Panginoong Diyos ang lalaki, at habang siya'y natutulog, kinuha niya ang isa sa kanyang mga tadyang at pinaghilom ang laman sa lugar na iyon;","Ug gipahinanok sa Ginoong Dios ang tawo ug samtang natulog siya, ang Dios mikuha ug usa sa mga gusok niya ug gitakpan niya ang unod sa dapit niini."
Genesis,2,22,"at ang tadyang na kinuha ng Panginoong Diyos sa lalaki ay ginawang isang babae, at dinala siya sa lalaki.","Ug ang gusok nga gikuha sa Ginoong Dios gikan sa tawo gibuhat niya nga usa ka babaye, ug iyang gidala siya ngadto sa lalaki."
Genesis,2,23,"At sinabi ng lalaki, “Sa wakas, ito'y buto ng aking mga buto at laman ng aking laman. Siya'y tatawaging Babae, sapagkat sa Lalaki siya kinuha.”","Ug ang tawo miingon, “Ania ra gayod ang bukog sa akong mga bukog, ug unod sa akong unod, siya nganlan nga Babaye, kay gikuha siya gikan sa Lalaki.”"
Genesis,2,24,"Kaya't iniiwan ng lalaki ang kanyang ama at ang kanyang ina, at pumipisan sa kanyang asawa; at sila'y nagiging isang laman.","Tungod niini, ang lalaki mobiya sa iyang amahan ug sa iyang inahan, ug motipon siya sa iyang asawa, ug sila mahimong usa ka unod."
Genesis,2,25,"Ang lalaki at ang kanyang asawa ay kapwa hubad, ngunit sila'y hindi nahihiya.","Ug silang duha hubo, ang tawo ug ang iyang asawa, ug sila wala maulaw."
Genesis,3,1,"Ang ahas nga ay higit na tuso kaysa alinman sa mga mailap na hayop sa parang na nilikha ng Panginoong Diyos. Sinabi niya sa babae, “Sinabi ba ng Diyos, ‘Huwag ninyong kakainin ang mula sa alinmang punungkahoy sa halamanan?’”","Karon, ang bitin labawng malinglahon kay sa tanang ihalas nga mananap nga gibuhat sa Ginoong Dios. Ug miingon siya sa babaye, “Nag-ingon ba ang Dios, ‘Dili kamo makakaon gikan sa bisan unsa nga kahoy sa tanaman’?”"
Genesis,3,2,"At sinabi ng babae sa ahas, “Makakain namin ang bunga ng mga punungkahoy sa halamanan;","Ug ang babaye mitubag sa bitin, “Makakaon kami sa bunga sa mga kahoy sa tanaman,"
Genesis,3,3,"subalit sinabi ng Diyos, ‘Huwag ninyong kakainin ang bunga ng punungkahoy na nasa gitna ng halamanan; huwag din ninyo itong hihipuin, kundi kayo'y mamamatay.’”","apan miingon ang Dios, ‘Ayaw kamo pagkaon sa bunga sa kahoy nga anaa sa taliwala sa tanaman o bisan sa paghikap niana, aron dili kamo mamatay.’ ”"
Genesis,3,4,"Subalit sinabi ng ahas sa babae, “Tiyak na hindi kayo mamamatay.","Ug ang bitin miingon sa babaye, “Dili kamo mamatay."
Genesis,3,5,"Sapagkat nalalaman ng Diyos na kapag kayo'y kumain noon ay mabubuksan ang inyong mga mata, at kayo'y magiging kagaya ng Diyos, na nakakakilala ng mabuti at masama.”","Kay nasayod ang Dios nga sa dihang kamo mokaon niini mabuka ang inyong mga mata ug mahimo kamo nga sama sa Dios, mahibalo sa maayo ug sa daotan.”"
Genesis,3,6,"Kaya't nang makita ng babae na ang bunga ng punungkahoy ay mabuting kainin, nakakalugod sa paningin, na dapat nasain upang maging matalino, siya ay pumitas ng bunga nito at kinain ito; at binigyan din niya ang kanyang asawa na kasama niya, at siya'y kumain.","Ug sa dihang nakita sa babaye nga ang kahoy maayong kaonon ug nga kini makalipay sa mga mata ug nga ang kahoy angay nga tinguhaon aron mahimong maalamon, mikuha siya sa bunga niini ug mikaon. Ug gihatagan niya ang iyang bana nga uban kaniya ug mikaon siya."
Genesis,3,7,"At parehong nabuksan ang kanilang mga mata, at nalaman nilang sila'y mga hubad. Magkasama silang nagtahi ng mga dahon ng puno ng igos, at kanilang ginawang panakip.","Unya nabuka ang mga mata nilang duha, ug sila nakaamgo nga sila hubo, busa nagtahi sila ug mga dahon sa igera ug gihimo nilang mga tapis alang sa ilang kaugalingon."
Genesis,3,8,Narinig nila ang tinig ng Panginoong Diyos na lumalakad sa halamanan sa malamig na bahagi ng maghapon. Nagtago ang lalaki at ang kanyang asawa sa Panginoong Diyos sa mga punungkahoy sa halamanan.,Ug nadungog nila ang kasikas sa Ginoong Dios nga naglakaw didto sa tanaman sa pagkakilomkilom. Ug mitago ang tawo ug ang iyang asawa didto sa taliwala sa mga kakahoyan sa tanaman.
Genesis,3,9,"Tinawag ng Panginoong Diyos ang lalaki at sa kanya'y sinabi, “Saan ka naroon?”","Apan ang Ginoong Dios mitawag sa tawo ug miingon kaniya, “Hain ka?”"
Genesis,3,10,"Sinabi niya, “Narinig ko ang iyong tinig sa halamanan at ako'y natakot, sapagkat ako'y hubad; at ako'y nagtago.”","Ug mitubag siya, “Nadungog nako ang imong kasikas diha sa tanaman, ug nahadlok ako kay hubo man ako, busa mitago ako.”"
Genesis,3,11,"At sinabi niya, “Sinong nagsabi sa iyong ikaw ay hubad? Kumain ka ba ng bunga ng punungkahoy, na iniutos ko sa iyong huwag mong kainin?”","Ug miingon siya, “Kinsa ba ang nag-ingon kanimo nga hubo ikaw? Mikaon ba ikaw gikan sa kahoy nga gidili nako kanimo sa pagkaon?”"
Genesis,3,12,"Sinabi ng lalaki, “Ang babaing ibinigay mo na aking makakasama ang nagbigay sa akin ng bunga ng punungkahoy at ito'y aking kinain.”","Ug ang tawo miingon, “Ang babaye nga gihatag nimo kanako aron akong ikauban, siya ang naghatag kanako sa bunga sa kahoy, ug mikaon ako.”"
Genesis,3,13,"Sinabi ng Panginoong Diyos sa babae, “Ano itong iyong ginawa?” Sinabi ng babae, “Dinaya ako ng ahas, at ako'y kumain.” Ang Diyos ay Naggawad","Ug ang Ginoong Dios miingon sa babaye, “Unsa man kining imong gibuhat?” Ug ang babaye miingon, “Ang bitin milingla kanako, ug mikaon ako.”"
Genesis,3,14,"Sinabi ng Panginoong Diyos sa ahas, “Sapagkat ginawa mo ito ay isinumpa ka nang higit sa lahat ng hayop, at nang higit sa bawat mailap na hayop sa parang; ang iyong tiyan ang ipanggagapang mo, at alabok ang iyong kakainin sa lahat ng mga araw ng iyong buhay.","Ug ang Ginoong Dios miingon sa bitin, “Tungod kay ikaw nagbuhat niini, tinunglo ikaw labaw sa tanan nga mga kahayopan ug labaw sa tanan nga ihalas nga mga mananap; pinaagi sa imong tiyan magkamang ikaw, ug magkaon ikaw ug abog sa tanan nga mga adlaw sa imong kinabuhi."
Genesis,3,15,"Maglalagay ako sa iyo at sa babae ng pagkapoot sa isa't isa, at sa iyong binhi at sa kanyang binhi. Ito ang dudurog ng iyong ulo, at ikaw ang dudurog ng kanyang sakong.”","Ug ibutang nako ang panag-away tali kanimo ug sa babaye ug tali sa imong kaliwat ug sa iyang kaliwat; siya magsamad sa imong ulo, ug ikaw magsamad sa iyang tikod.”"
Genesis,3,16,"Sinabi niya sa babae, “Pararamihin ko ang paghihirap mo sa iyong paglilihi; manganganak kang may paghihirap, ngunit ang iyong pagnanais ay para sa iyong asawa, at siya ang mamumuno sa iyo.”","Ngadto sa babaye miingon siya, “Padaghanon nako pag-ayo ang kasakit sa imong pagpanamkon ug sa kasakit ikaw magpahimugso ug mga anak, apan mangandoy gihapon ikaw sa imong bana ug siya magbuot kanimo.”"
Genesis,3,17,"At kay Adan ay kanyang sinabi, “Sapagkat nakinig ka sa tinig ng iyong asawa, at kumain ka ng bunga ng punungkahoy na aking iniutos sa iyo na, ‘Huwag kang kakain niyon,’ sumpain ang lupa dahil sa iyo. Kakain ka mula sa kanya sa pamamagitan ng iyong mabigat na paggawa sa lahat ng mga araw ng iyong buhay;","Ug miingon siya kang Adan, “Tungod kay namati man ikaw sa tingog sa imong asawa ug mikaon sa bunga sa kahoy nga niini ako nagsugo kanimo, ‘Ayaw pagkaon niini,’ tinunglo ang yuta tungod kanimo. Pinaagi sa pagbudlay makakaon ikaw gikan niini sa tanang mga adlaw sa imong kinabuhi."
Genesis,3,18,"mga tinik at dawag ang sisibol doon para sa iyo, at kakain ka ng tanim sa parang.",Kini magpaturok usab kanimo ug mga tunokong sampinit ug mga sagbot ug magkaon ikaw sa mga tanom sa kapatagan.
Genesis,3,19,"Sa pawis ng iyong mukha ay kakain ka ng tinapay, hanggang ikaw ay bumalik sa lupa; sapagkat diyan ka kinuha. Ikaw ay alabok at sa alabok ka babalik.”",Pinaagi sa singot sa imong nawong makakaon ikaw sa pan hangtod nga mobalik ikaw sa yuta tungod kay ikaw gikuha gikan niini; ikaw abog ug sa abog ikaw mobalik.”
Genesis,3,20,Tinawag ng lalaki ang kanyang asawa na Eva sapagkat siya ang naging ina ng lahat ng mga nabubuhay.,Ug ginganlan sa tawo ug Eva ang iyang asawa tungod kay siya mao ang inahan sa tanan nga buhi.
Genesis,3,21,At iginawa ng Panginoong Diyos si Adan at ang kanyang asawa ng mga kasuotang balat at sila'y dinamitan. Pinalayas sina Adan at Eva sa Halamanan,Ug ang Ginoong Dios nagbuhat ug mga bisti nga panit alang kang Adan ug sa iyang asawa ug iyang gibistihan sila.
Genesis,3,22,"Sinabi ng Panginoong Diyos, “Tingnan ninyo, ang tao'y naging parang isa sa atin, na nakakakilala ng mabuti at ng masama; at ngayon, baka iunat ang kanyang kamay at pumitas din ng bunga ng punungkahoy ng buhay, at kumain, at mabuhay magpakailanman.”","Ug ang Ginoong Dios miingon, “Tan-awa, ang tawo nahimo nga sama sa usa kanato, nahibalo sa maayo ug sa daotan. Ug karon tingali unya ug mokab-ot siya ug mokuha usab gikan sa kahoy sa kinabuhi ug mokaon, ug mabuhi hangtod sa kahangtoran.”"
Genesis,3,23,Kaya't pinalayas siya ng Panginoong Diyos sa halamanan ng Eden upang kanyang bungkalin ang lupaing pinagkunan sa kanya.,Tungod niini ang Ginoong Dios mihingilin kaniya gikan sa tanaman sa Eden aron sa pag-uma sa yuta diin siya gikuha.
Genesis,3,24,"At kanyang itinaboy ang lalaki; at inilagay sa silanganan ng halamanan ng Eden ang mga kerubin at ang isang nagniningas na tabak na umiikot, upang bantayan ang daang patungo sa punungkahoy ng buhay.","Busa gipapahawa niya ang tawo, ug didto sa silangang dapit sa tanaman sa Eden gibutang niya ang mga kerubin ug ang nagsiga nga espada nga nagtuyok aron pagbantay sa dalan ngadto sa kahoy sa kinabuhi."
Genesis,4,1,"At nakilala ng lalaki si Eva na kanyang asawa, at siya'y naglihi at ipinanganak si Cain, at sinabi, “Nagkaanak ako ng lalaki sa tulong ng Panginoon .”","Ug si Adan nakighilawas kang Eva nga iyang asawa ug kini nanamkon, unya nanganak kang Cain ug miingon, “Nanganak ako ug usa ka lalaki tungod sa tabang sa Ginoo .”"
