book,chapter,verse,text_Spanish,text_Bikol
Exodus,1,22,"El faraón, por su parte, dio esta orden a todo su pueblo: —¡Tiren al río a todos los niños hebreos que nazcan! A las niñas, déjenlas con vida.","Kaya nagboot an hade sa mga Egipcio, “Itapok nindo sa Salog nin Nilo an lambang bagong mamundag na lalaki sa mga Hebreyo, alagad pabayaan nindong mabuhay an gabos na aking babae.”"
Exodus,2,1,Hubo un levita que tomó por esposa a una mujer de su propia tribu.,"Kan panahon na ini, may sarong lalaki sa tribu ni Levi na nag-agom nin sarong babaeng katribu niya."
Exodus,2,2,"La mujer quedó embarazada y tuvo un hijo, y al verlo tan hermoso lo escondió durante tres meses.","Nagbados an babae asin nag-aki nin lalaki. Kan mahiling kan ina na magayon an aki, tolong bulan niya ining itinago."
Exodus,2,3,"Cuando ya no pudo seguir ocultándolo, preparó una cesta de papiro, la embadurnó con brea y asfalto. Después puso en ella al niño y fue a dejar la cesta entre los juncos que había a la orilla del Nilo.","Alagad kan dai na niya ini pwedeng itago, kuminua siya nin basket na gibo sa bariw asin linahidan niya nin aspalto tanganing dai laogon nin tubig. Ilinaog niya an saiyang aki sa basket, dangan iwinalat sa tahaw kan mga talahib sa gilid kan salog."
Exodus,2,4,Pero la hermana del niño se quedó a cierta distancia para ver qué pasaría con él.,An aki binantayan kan tugang niyang babae sa horoharayo tanganing hilingon kun ano an mangyayari saiya.
Exodus,2,5,"En eso, la hija del faraón bajó a bañarse en el Nilo. Sus doncellas, mientras tanto, se paseaban por la orilla del río. De pronto, la hija del faraón vio la cesta entre los juncos y ordenó a una de sus esclavas que fuera por ella.","Kan magduman sa salog an aking babae kan hade tanganing magkarigos, mantang naglalakaw-lakaw sa pangpang an saiyang mga katabang, nahiling niya an basket sa tahaw kan mga talahib. Ipinakua niya idto sa sarong katabang."
Exodus,2,6,"Cuando la hija del faraón abrió la cesta y vio allí dentro un niño que lloraba, le tuvo compasión y exclamó: —¡Es un niño hebreo!","Kan bukasan niya an basket, nahiling niya an aking lalaki na naghihibi kaya naherak siya. “Saro ini sa mga aking Hebreyo,” an sabi niya."
Exodus,2,7,"La hermana del niño preguntó entonces a la hija del faraón: —¿Quiere usted que vaya y llame a una nodriza hebrea, para que críe al niño por usted?","Nagrani sa prinsesa an tugang kan aki dangan naghapot, “Gusto mong ihanap taka nin babaeng Hebreyo na mag-aataman sa aking iyan?”"
Exodus,2,8,"—Ve a llamarla —contestó. La muchacha fue y trajo a la madre del niño,","“Sige, ihanap mo ako,” an simbag kan prinsesa. Kaya naghale an aking babae asin kinua niya an ina kan aki."
Exodus,2,9,y la hija del faraón le dijo: —Llévate a este niño y críamelo. Yo te pagaré por hacerlo. Fue así como la madre del niño se lo llevó y lo crio.,"Sinabihan kan prinsesa an babae, “Atamanon mo an aking ini asin babayadan taka.” Kaya dinara kan babae an aki asin inataman."
Exodus,2,10,"Ya crecido el niño, se lo llevó a la hija del faraón y ella lo adoptó como hijo suyo; además, le puso por nombre Moisés, pues dijo: «¡Yo lo saqué del río!». Huida de Moisés a Madián","Kan dakula na an aki, ibinalik siya kan saiyang ina sa prinsesa, asin inako siya kaini bilang sadiring aki. Nagsabi an prinsesa, “Ngangaranan ko siyang Moises huli ta hinawas ko siya sa tubig.”"
Exodus,2,11,"Un día, cuando Moisés ya había crecido, fue a ver a sus hermanos de sangre y pudo observar sus penurias. De pronto, vio que un egipcio golpeaba a uno de sus hermanos, es decir, a un hebreo.","Kan soltero na si Moises, dinalaw niya an kapwa niya mga Hebreyo, asin nahiling niyang pinapasakitan sinda sa paagi nin magagabat na trabaho. Nahiling pa niya kan pinapakol nin sarong Egipcio an sarong kapwa niya Hebreyo."
Exodus,2,12,"Miró entonces a uno y otro lado y, al no ver a nadie, mató al egipcio y lo escondió en la arena.","Nangalag-kalag si Moises asin kan mahiling niyang mayo man nin ibang tawo, ginadan niya an Egipcio dangan tinahoban nin baybay."
Exodus,2,13,"Al día siguiente volvió a salir y, al ver que dos hebreos peleaban entre sí, preguntó al culpable: —¿Por qué golpeas a tu compañero?","Sunod na aldaw, nagbalik siya asin nahiling niyang nag-iiwal an duwang Hebreyo. Hinapot niya an may sala, “Tadaw ta kinukulog mo an kapwa mo Hebreyo?”"
Exodus,2,14,"—¿Y quién te nombró gobernante y juez sobre nosotros? —respondió aquel—. ¿Acaso quieres matarme a mí como mataste al egipcio? Esto causó temor en Moisés, pues pensó: «¡Ya se supo lo que hice!».","Nagsimbag an lalaki, “Siisay an nagbugtak saimo na magin samong pamayo asin hukom? Ano, gagadanon mo man ako arog kan ginibo mo sa Egipcio?” Natakot si Moises asin nagsaboot, “Aram na palan an ginibo ko.”"
Exodus,2,15,"Y en efecto, el faraón se enteró de lo sucedido y trató de matar a Moisés; pero Moisés huyó del faraón y se fue a la tierra de Madián, donde se asentó junto a un pozo.","Kan maaraman kan hade an nangyari, naghingowa siyang gadanon si Moises, alagad nagdulag ini pasiring sa Midian tanganing duman na mag-erok."
Exodus,2,16,"El sacerdote de Madián tenía siete hijas, las cuales solían ir a sacar agua para llenar los abrevaderos y dar de beber a las ovejas de su padre.","Kan nagtutukaw si Moises sa may bubon, uminabot an pitong aking daraga ni Jetro na padi kan Midian, tanganing magharok nin tubig para sa mga raraan kan mga karnero asin kanding kan saindang ama."
Exodus,2,17,Pero los pastores llegaron y las echaron de allí. Moisés intervino en favor de ellas: las puso a salvo de los pastores y dio de beber a sus ovejas.,May nag-abot man na mga pastor asin pinalayas sinda. Alagad sinurog ni Moises an mga babae asin pinainom an mga hayop ninda.
Exodus,2,18,"Cuando las muchachas volvieron a la casa de Reuel, su padre, este les preguntó: —¿Por qué volvieron hoy tan temprano?","Pagpuli ninda, naghapot an saindang ama, “Tadaw ta naamay kamo ngunyan?”"
Exodus,2,19,—Porque un egipcio nos libró de los pastores —respondieron—. ¡Hasta nos sacó el agua del pozo y dio de beber al rebaño!,"“Sinurog kaya kami nin sarong Egipcio kan palayason kami kan mga pastor,” an simbag ninda. “Ihinarok pa ngani niya kami nin tubig dangan pinainom an mga hayop.”"
Exodus,2,20,—¿Y dónde está ese hombre? —contestó—. ¿Por qué lo dejaron solo? ¡Invítenlo a comer!,“Haen siya?” an hapot ni Jetro sa saiyang mga aki. “Tano ta binayaan nindo siya duman? Balik kamo asin alokon nindo siyang magkakan digdi sato.”
Exodus,2,21,"Moisés convino en quedarse a vivir en casa de aquel hombre, quien le dio por esposa a su hija Séfora.",Pinagmarahay ni Moises na duman na mag-erok. Dangan ipinaagom ni Jetro saiya an aki niyang si Zippora.
Exodus,2,22,"Ella tuvo un hijo, al cual Moisés llamó Guersón, pues razonó: «Soy un extranjero en tierra extraña».","Nag-aki si Zippora nin lalaki. Nagsaboot si Moises, “Ngangaranan ko siyang Gersom huli ta saro akong dayuhan sa dagang ini.”"
Exodus,2,23,"Mucho tiempo después murió el rey de Egipto. Los israelitas, sin embargo, seguían lamentando su condición de esclavos y clamaban pidiendo ayuda. Sus gritos desesperados llegaron a oídos de Dios,","Pakalihis nin halawig na panahon, nagadan an hade nin Egipto, alagad an mga Israelita padagos na nasa kaoripnan. Kaya nag-agrangay sinda sa sobrang pagtios—inagrangay na nakaabot sa Dios."
Exodus,2,24,"quien al oír sus quejidos se acordó del pacto que había hecho con Abraham, Isaac y Jacob.","Nadangog sinda nin Dios asin nagiromdoman niya an saiyang tipan ki Abraham, ki Isaac asin ki Jacob."
Exodus,2,25,Fue así como Dios se fijó en los israelitas y los tomó en cuenta.,Nahiling niya an kamugtakan kan mga Israelita kaya naherak siya sainda.
Exodus,3,1,"Un día, Moisés estaba cuidando el rebaño de Jetro, su suegro, que era sacerdote de Madián, y llevó las ovejas hasta el otro extremo del desierto hasta llegar a Horeb, la montaña de Dios.","Kan panahon na iyan si Moises iyo an nag-aataman kan mga karnero asin mga kanding kan panugangan niyang si Jetro, na padi kan Midian. Sarong aldaw, inalaw niya an mga hayop pasiring sa solnopan kan kalangtadan sagkod na nakaabot siya sa Sinai, an bukid nin Dios."
Exodus,3,2,"Estando allí, el ángel del Señor se le apareció entre las llamas de una zarza ardiente. Moisés notó que la zarza estaba envuelta en llamas, pero que no se consumía,",Nagpahiling saiya duman an anghel nin Kagurangnan sa laad nin kalayo na naghahale sa tahaw kan sarong marambong na tinanom. Nahiling niya na nagkakalayo an marambong na tinanom alagad dai man ini nasusulo.
Exodus,3,3,así que pensó: «¡Qué increíble! Voy a ver por qué no se consume la zarza».,“Makangangalas!” an sabi niya. “Ranihon ko daw asin hilingon kun tano ta dai ini nasusulo.”
Exodus,3,4,"Cuando el Señor vio que Moisés se acercaba a mirar, lo llamó desde la zarza: —¡Moisés, Moisés! —Aquí estoy —respondió.","Kan mahiling nin Kagurangnan na nagrarani si Moises, nag-apod siya hale sa tahaw kan nagkakalayong tinanom, “Moises! Moises!” “Uya ako,” an simbag ni Moises."
Exodus,3,5,"—No te acerques más —le dijo Dios—. Quítate las sandalias, porque estás pisando tierra santa.","Nagtaram an Kagurangnan , “Dai ka magrani. Halea an saimong mga sandalyas, huli ta banal an lugar na saimong natitindogan."
Exodus,3,6,"Yo soy el Dios de tu padre. Soy el Dios de Abraham, de Isaac y de Jacob. Al oír esto, Moisés se cubrió el rostro, pues tuvo miedo de mirar a Dios.","Ako an Dios nin saimong mga magurang, an Dios ni Abraham, ni Isaac, asin ni Jacob.” Kaya tinahoban ni Moises an saiyang lalawogon huli ta natakot siyang maghiling sa Dios."
Exodus,3,7,Pero el Señor siguió diciendo: —Ciertamente he visto la opresión que sufre mi pueblo en Egipto. Los he escuchado quejarse de sus capataces y conozco bien sus penurias.,"Nagtaram pa an Kagurangnan , “Nahiling ko an grabeng kasakitan kan sakong banwaan sa Egipto. Nadangog ko an saindang inagrangay na iligtas sinda sa mga nag-ooripon sa sainda. Naaaraman ko an gabos nindang tinitios,"
Exodus,3,8,"Así que he descendido para librarlos del poder de los egipcios y sacarlos de ese país, para llevarlos a una tierra buena y espaciosa, tierra donde abundan la leche y la miel. Me refiero al país de los cananeos, hititas, amorreos, ferezeos, heveos y jebuseos.","kaya naghilig ako tanganing iligtas sinda sa mga Egipcio asin darahon sa dagang matubang, mahiwas asin mayaman sa gabos na bagay. Dadarahon ko sinda sa dagang pinag-eerokan ngunyan kan mga Cananeo, Heteo, Amoreo, Perezeo, Heveo asin Jebuseo."
Exodus,3,9,Han llegado a mis oídos los gritos desesperados de los israelitas y he visto también cómo los oprimen los egipcios.,Nadangog ko an inagrangay kan sakong banwaan asin nahiling ko an pag-api sainda kan mga Egipcio.
Exodus,3,10,"Así que disponte a partir. Voy a enviarte al faraón para que saques de Egipto a los israelitas, que son mi pueblo.",Ngunyan susugoon taka sa hade tanganing ikaluwas mo sa Egipto an mga Israelita na sakong banwaan.”
Exodus,3,11,Pero Moisés dijo a Dios: —¿Y quién soy yo para presentarme ante el faraón y sacar de Egipto a los israelitas?,"Alagad nagsimbag si Moises sa Dios, “Siisay man ako na maduman sa hade nin Egipto tanganing iluwas sa saiyang nasyon an mga Israelita?”"
Exodus,3,12,"—Yo estaré contigo —respondió Dios—. Y te voy a dar una señal de que soy yo quien te envía: Cuando hayas sacado de Egipto a mi pueblo, todos ustedes me adorarán en esta montaña.","Nagtaram an Dios, “Iibahan taka, asin iyan an patotoo na sinugo taka. Sa panahon na ikaluwas mo na sa Egipto an mga tawo, sasambahon nindo ako sa bukid na ini.”"
Exodus,3,13,Pero Moisés insistió: —Supongamos que me presento ante los israelitas y les digo: “El Dios de sus antepasados me ha enviado a ustedes”. Si me preguntan: “¿Y cómo se llama?”. ¿Qué les respondo?,"Alagad nagsimbag si Moises, “Kun magduman ako sa mga Israelita asin magsabi sainda, ‘Sinugo ako kan Dios nin saindong mga ginikanan,’ dangan hapoton ninda ako kun ano an saimong ngaran, ano an sasabihon ko?”"
Exodus,3,14,— Yo soy el que soy —respondió Dios a Moisés—. Y esto es lo que tienes que decirles a los israelitas: “ Yo soy me ha enviado a ustedes”.,"Nagtaram an Dios, “AKO IYO AKO. Sabihan mo sinda: ‘An inaapod na IYO AKO an nagsugo sako sa saindo.’"
Exodus,3,15,"Además, Dios dijo a Moisés: —Di esto a los israelitas: “El Señor , el Dios de sus antepasados, el Dios de Abraham, de Isaac y de Jacob, me ha enviado a ustedes. »”Este es mi nombre eterno; este es mi nombre por todas las generaciones”.","Sabihan mo man an mga Israelita na an Kagurangnan , an Dios kan saindang mga ginikanan, ni Abraham, ni Isaac, asin ni Jacob, iyo an nagsugo saimo sa sainda. Iyo ini an sakong ngaran sagkod pa man. Gigiromdomon ako sa ngaran na ini sa gabos na henerasyon."
Exodus,3,16,"»Y tú, anda, reúne a los jefes de Israel y diles: “El Señor , Dios de sus antepasados, el Dios de Abraham, de Isaac y de Jacob, se me apareció y me dijo: ‘Yo he estado pendiente de ustedes. He visto cómo los han maltratado en Egipto.","Lakaw asin tipona an mga lider nin Israel dangan sabihan mo sinda na Ako, an Kagurangnan , an Dios kan saindang mga ginikanan, an Dios ni Abraham, ni Isaac, asin ni Jacob nagpahiling saimo. Sabihan mo na dinalaw ko sinda asin nahiling ko kun ano an ginigibo sainda kan mga Egipcio."
Exodus,3,17,"Por eso me propongo sacarlos de su opresión en Egipto y llevarlos al país de los cananeos, hititas, amorreos, ferezeos, heveos y jebuseos. ¡Es una tierra donde abundan la leche y la miel!’ ”.","Nangangako ako na iluluwas ko sinda sa Egipto na nag-ooripon sa sainda asin dadarahon ko sinda sa mayaman saka matubang na daga kan mga Cananeo, Heteo, Amoreo, Perezeo, Heveo, asin Jebuseo."
Exodus,3,18,"»Los jefes de Israel te harán caso. Entonces ellos y tú se presentarán ante el rey de Egipto y dirán: “El Señor , Dios de los hebreos, ha venido a nuestro encuentro. Déjanos hacer un viaje de tres días al desierto, para ofrecerle sacrificios al Señor nuestro Dios”.","“Dadangogon ka kan sakong banwaan; dangan, kaiba an mga lider nin Israel, magduman kamo sa hade nin Egipto asin sabihan nindo siya, ‘An Kagurangnan , an Dios kan mga Hebreyo, nagpahiling sa samo. Ngunyan, tugote kaming maglakaw nin tolong aldaw pasiring sa kalangtadan tanganing mag-atang sa Kagurangnan , na samuyang Dios.’"
Exodus,3,19,"Yo sé bien que el rey de Egipto no va a dejarlos ir, a no ser por la fuerza.",Aram kong dai matugot an hade na maghale kamo sagkod na dai siya mapiritan.
Exodus,3,20,Entonces manifestaré mi poder y heriré de muerte a los egipcios con todas las maravillas que realizaré entre ellos. Después de eso el faraón los dejará ir.,Kaya gagamiton ko an sakong kapangyarihan asin papadusahan ko an Egipto sa paagi nin makangingirhat na mga bagay na gigibohon ko duman. Pakatapos kaiyan papahaleon na niya kamo.
Exodus,3,21,"»Pero yo haré que este pueblo se gane la simpatía de los egipcios, de modo que cuando ustedes salgan de Egipto no se vayan con las manos vacías.","“Gigibohon kong igalang kamo kan mga Egipcio tanganing paghale nindo, may dara kamo."
Exodus,3,22,"Toda mujer israelita pedirá a su vecina y a cualquier otra mujer que viva en su casa, objetos de oro, de plata y ropa para vestir a sus hijos y a sus hijas. Así despojarán ustedes a los egipcios».","An lambang babaeng Israelita mahagad nin gubing, alahas na plata asin bulawan sa saiyang mga kataed o sa mga Egipciong nag-eerok sa saiyang harong. Isusulot ninda iyan sa saindang mga aki, kaya madadara ninda an kayamanan kan mga Egipcio.”"
Exodus,4,1,Moisés volvió a preguntar: —¿Y qué hago si no me creen ni me hacen caso? ¿Qué hago si me dicen: “El Señor no se te ha aparecido”?,"Dangan naghapot si Moises sa Kagurangnan , “Halimbawang dai magtubod asin magdangog sako an mga Israelita, ano an gigibohon ko kun magsabi sindang dai ka man nagpahiling sa sako?”"
Exodus,4,2,—¿Qué tienes en la mano? —preguntó el Señor . —Una vara —respondió Moisés.,"Kaya hinapot man siya nin Kagurangnan , “Ano iyan na nakakapotan mo?” “Sarong sugkod,” an simbag ni Moises."
Exodus,4,3,"—Tírala al suelo —ordenó el Señor . Moisés tiró la vara al suelo y esta se convirtió en una serpiente. Moisés trató de huir de ella,","Nagtaram an Kagurangnan , “Tapokan iyan sa daga.” Pagkatapokan ni Moises kan sugkod, nagin halas idto, kaya duminulag siya."
Exodus,4,4,"pero el Señor mandó a que la agarrara por la cola. En cuanto Moisés agarró la serpiente, esta se convirtió en una vara en sus propias manos.","Dangan tinaraman nin Kagurangnan si Moises, “Dakopa sa ikog an halas.” Kaya dinakop ni Moises an halas asin ini nagin sugkod giraray."
Exodus,4,5,"—Esto es para que crean que yo el Señor , el Dios de sus antepasados, Dios de Abraham, de Isaac y de Jacob, me he aparecido a ti.","Nagtaram an Kagurangnan , “Arog kaiyan an gibohon mo tanganing tumubod an mga Israelita na nagpahiling saimo an Kagurangnan , an Dios kan saindang mga ginikanan, an Dios ni Abraham, ni Isaac, asin ni Jacob.”"
Exodus,4,6,"Y ahora —ordenó el Señor —, llévate la mano al pecho. Moisés se llevó la mano al pecho y cuando la sacó, la tenía toda cubierta de una enfermedad en la piel; estaba blanca como la nieve.","Nagtaram pa an Kagurangnan ki Moises, “Laogan an saimong kamot sa saimong gubing sa may daghan.” Nagsunod si Moises; kan iluwas niya ini, maputi nang marahay huli sa daot."
Exodus,4,7,"—¡Llévatela otra vez al pecho! —insistió el Señor. Moisés se llevó de nuevo la mano al pecho y, cuando la sacó, la tenía tan sana como el resto de su cuerpo.","“Laogan giraray an saimong kamot,” pasunod nin Dios ki Moises. Ilinaog niya ini asin kan iluwas niya giraray, an saiyang kamot mayo nang daot."
Exodus,4,8,"—Si con la primera señal milagrosa no te creen ni te hacen caso —dijo el Señor —, tal vez te crean con la segunda.","Nagtaram an Dios, “Kun dai ka ninda tubodan sa enot na ngangalasan pwedeng sa ikaduwa."
Exodus,4,9,"Pero si no te creen ni te hacen caso después de estas dos señales, toma agua del Nilo y derrámala en la tierra seca. En cuanto el agua del río toque el suelo, se convertirá en sangre.","Kun habo pa nanggad sindang magtubod sa duwang ngangalasan na ini asin habong magdangog saimo, kumua ka nin tubig sa Salog nin Nilo asin iula mo sa mamarang daga. An tubig magigin dugo.”"
Exodus,4,10,"— Señor , yo nunca me he distinguido por mi facilidad de palabra —objetó Moisés—. Y esto no es algo que haya comenzado ayer ni anteayer, ni hoy que te diriges a este siervo tuyo. Francamente, me cuesta mucho trabajo hablar.","Alagad nagsabi si Moises, “Hare ako pagsugoa, Kagurangnan . Maluya asin kamol akong magtaram. Dati akong maluyang magtaram poon kaidto sagkod ngunyan na makipag-olay ka sako.”"
Exodus,4,11,"—¿Y quién le puso la boca al hombre? —respondió el Señor —. ¿Acaso no soy yo, el Señor , quien lo hace sordo o mudo, quien le da la vista o se la quita?","Nagtaram saiya an Kagurangnan , “Siisay an nagtatao nin ngoso sa tawo? Siisay an may kapangyarihan na gibohon siyang bongog o pola, may pakahiling o buta? Bakong ako, an Kagurangnan ?"
Exodus,4,12,"Anda, ponte en marcha, que yo te ayudaré a hablar y te diré lo que debas decir.",Kaya lakaw na! Tatabangan takang magpahayag asin tutukdoan taka kan sasabihon mo.”
Exodus,4,13,"—Señor —insistió Moisés—, te ruego que envíes a alguna otra persona.","Alagad nagsimbag si Moises, “ Kagurangnan , nakikimaherak ako na iba na sana an sugoon mo.”"
Exodus,4,14,"Entonces el Señor ardió en ira contra Moisés y le dijo: —¿Y qué hay de tu hermano Aarón, el levita? Yo sé que él es muy elocuente. Además, ya ha salido a tu encuentro y cuando te vea se alegrará su corazón.","Huli kaini, naanggot an Kagurangnan ki Moises asin nagtaram, “Bakong yaon an tugang mong Levita na si Aaron? Aram kong marahay siyang magtaram. An totoo, pasiring na siya digdi asin maoogma siyang mahiling ka."
Exodus,4,15,"Tú hablarás con él y le pondrás las palabras en la boca; yo los ayudaré a hablar, a ti y a él, y les enseñaré lo que tienen que hacer.",Kaolayon mo siya asin sabihan mo kan dapat niyang itaram. Pareho ko kamong tatabangan sa pagtaram asin tutukdoan kan saindong gigibohon.
Exodus,4,16,"Él hablará por ti al pueblo, como si tú mismo le hablaras, y tú hablarás a él por mí, como si hablara yo mismo.","Siya an magigin ngoso mo sa mga tawo, an saimong tagapagtaram sa sainda; asin ika an magigin bilang Dios na mataram sa saiya kan mga isasabi niya."
Exodus,4,17,"Pero no te olvides de llevar contigo esta vara, porque con ella harás señales milagrosas. Moisés regresa a Egipto","Daraha an sugkod na ini, na iyo an gagamiton mo sa paggibo nin ngangalasan.”"
Exodus,4,18,"Moisés se fue de allí y volvió a la casa de Jetro, su suegro. Al llegar, le dijo: —Debo marcharme. Quiero volver a Egipto, donde están mis hermanos de sangre. Voy a ver si todavía viven. —Anda, pues; que te vaya bien —contestó Jetro.","Nagpuli si Moises sa panugangan niyang si Jetro asin nagsabi, “Tugote akong magbalik sa Egipto. Aaramon ko kun buhay pa an sakong mga kadugo duman.” Tinugotan siya ni Jetro dangan benendisyonan."
Exodus,4,19,"Ya en Madián el Señor había dicho a Moisés: «Vuelve a Egipto, que ya han muerto todos los que querían matarte».","Nagtaram an Kagurangnan ki Moises kan yaon pa siya sa Midian, “Magbalik ka sa Egipto, huli ta gadan na an gabos na tawong boot gumadan saimo.”"
Exodus,4,20,"Así que Moisés tomó a su mujer y a sus hijos, los montó en un asno y volvió a Egipto. En la mano llevaba la vara de Dios.",Kaya ilinunad ni Moises sa asno an saiyang agom asin mga aki dangan nagpasiring sa Egipto; dara niya an sugkod na ipinadara saiya nin Dios.
Exodus,4,21,"El Señor había advertido a Moisés: «Cuando vuelvas a Egipto, asegúrate de hacer ante el faraón todos los prodigios que te he dado el poder de realizar. Yo, por mi parte, endureceré su corazón para que no deje ir al pueblo.","Nagtaram giraray an Kagurangnan ki Moises, “Pag-abot mo sa Egipto, gibohon mo nanggad sa atubang kan hade an gabos na ngangalasan na itinao ko sa saimong kapangyarihan. Alagad papatagason ko an puso kan hade, asin dai niya tutugotan na humale an mga tawo."
Exodus,4,22,Entonces tú le dirás al faraón que esto dice el Señor : “Israel es mi primogénito.,"Kaya sabihan mo siyang ako, an Kagurangnan , nagtaram kaini, ‘An Israel iyo an matua kong aking lalaki."
Exodus,4,23,"Ya te he dicho que dejes ir a mi hijo para que me rinda culto, pero tú no has querido dejarlo ir. Por lo tanto, voy a quitarle la vida a tu primogénito”».","Tugotan mong maghale an sakong aki tanganing sambahon ako; kun magsayuma ka, gagadanon ko an matua mong aking lalaki.’”"
Exodus,4,24,"Ya en el camino, el Señor salió al encuentro de Moisés en una posada y estuvo a punto de matarlo.","Sa sarong lugar na pahingaloan sa dalan pasiring sa Egipto, sinabat nin Kagurangnan si Moises huli ta boot niya ining gadanon."
Exodus,4,25,"Pero Séfora, tomando un cuchillo de piedra afilada, cortó el prepucio a su hijo; luego tocó los pies de Moisés con el prepucio y dijo: «No hay duda. Tú eres para mí un esposo de sangre».","Kaya si Zippora, na agom ni Moises, kuminua nin matarom na gapo asin sinerkomsisyon an saiyang aki, dangan idinuta niya an naputol na laman sa bitis ni Moises."
