book,chapter,verse,text_Bikol,text_Cebuano
Exodus,2,1,"Kan panahon na ini, may sarong lalaki sa tribu ni Levi na nag-agom nin sarong babaeng katribu niya.",Dihay usa ka tawo nga gikan sa banay ni Levi nga miadto ug nangasawa sa usa ka kaliwat ni Levi.
Exodus,2,2,"Nagbados an babae asin nag-aki nin lalaki. Kan mahiling kan ina na magayon an aki, tolong bulan niya ining itinago.","Ang babaye nagsamkon ug nanganak ug usa ka bata nga lalaki, ug sa pagkakita niya nga siya matahom nga bata, iyang gitagoan siya sulod sa tulo ka bulan."
Exodus,2,3,"Alagad kan dai na niya ini pwedeng itago, kuminua siya nin basket na gibo sa bariw asin linahidan niya nin aspalto tanganing dai laogon nin tubig. Ilinaog niya an saiyang aki sa basket, dangan iwinalat sa tahaw kan mga talahib sa gilid kan salog.","Sa dihang dili na siya makahimo pagtago kaniya, mikuha siya ug usa ka bukag nga hinimo gikan sa mga bugang ug gibulit niya kini ug alkitran ug aspalto, ug iyang gipahiluna ang bata diha niini ug gibutang kini sa kasagbotan daplin sa suba."
Exodus,2,4,An aki binantayan kan tugang niyang babae sa horoharayo tanganing hilingon kun ano an mangyayari saiya.,Ug ang igsoon nga babaye sa bata nagtindog sa layo aron sa pagtan-aw sa mahitabo kaniya.
Exodus,2,5,"Kan magduman sa salog an aking babae kan hade tanganing magkarigos, mantang naglalakaw-lakaw sa pangpang an saiyang mga katabang, nahiling niya an basket sa tahaw kan mga talahib. Ipinakua niya idto sa sarong katabang.",Unya ang anak nga babaye sa Paraon miadto sa suba aron maligo samtang ang iyang mga sulugoon nagsuroysuroy sa daplin sa suba. Nakita sa prinsesa ang bukag taliwala sa kasagbotan ug iyang gisugo ang usa niya ka sulugoon nga babaye sa pagkuha niini.
Exodus,2,6,"Kan bukasan niya an basket, nahiling niya an aking lalaki na naghihibi kaya naherak siya. “Saro ini sa mga aking Hebreyo,” an sabi niya.","Sa dihang giablihan niya ang bukag, nakita niya ang bata nga naghilak. Ug naluoy siya sa bata ug miingon, “Usa kini sa mga bata sa mga Hebreo.”"
Exodus,2,7,"Nagrani sa prinsesa an tugang kan aki dangan naghapot, “Gusto mong ihanap taka nin babaeng Hebreyo na mag-aataman sa aking iyan?”","Unya ang igsoon nga babaye sa bata miingon sa anak nga babaye sa Paraon, “Molakaw ba ako aron sa pagkuha ug usa ka tig-atiman gikan sa mga babaye nga Hebreo, aron mag-atiman niining bataa alang kanimo?”"
Exodus,2,8,"“Sige, ihanap mo ako,” an simbag kan prinsesa. Kaya naghale an aking babae asin kinua niya an ina kan aki.","Ug ang anak nga babaye sa Paraon mitubag, “Lakaw.” Unya milakaw ang batang babaye ug gitawag niya ang inahan sa bata."
Exodus,2,9,"Sinabihan kan prinsesa an babae, “Atamanon mo an aking ini asin babayadan taka.” Kaya dinara kan babae an aki asin inataman.","Ug ang anak nga babaye sa Paraon miingon sa inahan sa bata, “Dad-a kining bata ug atimana siya alang kanako ug suholan ko ikaw.” Busa gikuha sa inahan ang bata ug giatiman kini."
Exodus,2,10,"Kan dakula na an aki, ibinalik siya kan saiyang ina sa prinsesa, asin inako siya kaini bilang sadiring aki. Nagsabi an prinsesa, “Ngangaranan ko siyang Moises huli ta hinawas ko siya sa tubig.”","Sa pagkadako na sa bata gidala siya sa inahan ngadto sa anak nga babaye sa Paraon, ug siya nahimo nga iyang anak, ug ginganlan niya siya ug Moises, kay siya miingon man, “Tungod kay siya gikuha nako gikan sa tubig.”"
Exodus,2,11,"Kan soltero na si Moises, dinalaw niya an kapwa niya mga Hebreyo, asin nahiling niyang pinapasakitan sinda sa paagi nin magagabat na trabaho. Nahiling pa niya kan pinapakol nin sarong Egipcio an sarong kapwa niya Hebreyo.","Usa niana ka adlaw, sa dihang midako na si Moises, miadto siya sa iyang katawhan ug misud-ong sa ilang mga paghago ug nakita niya ang usa ka Ehiptohanon nga midagmal sa usa ka Hebreo nga usa sa iyang mga kadugo."
Exodus,2,12,"Nangalag-kalag si Moises asin kan mahiling niyang mayo man nin ibang tawo, ginadan niya an Egipcio dangan tinahoban nin baybay.","Ug siya mitan-aw sa palibot, ug sa dihang nakita niya nga walay tawo, iyang gipatay ang Ehiptohanon ug gilubong sa balas."
Exodus,2,13,"Sunod na aldaw, nagbalik siya asin nahiling niyang nag-iiwal an duwang Hebreyo. Hinapot niya an may sala, “Tadaw ta kinukulog mo an kapwa mo Hebreyo?”","Sa dihang milakaw siya sa pagkasunod adlaw, nakita niya ang duha ka Hebreo nga nag-away ug siya miingon sa usa nga maoy sad-an, “Nganong imo mang gibunalan ang imong kauban?”"
Exodus,2,14,"Nagsimbag an lalaki, “Siisay an nagbugtak saimo na magin samong pamayo asin hukom? Ano, gagadanon mo man ako arog kan ginibo mo sa Egipcio?” Natakot si Moises asin nagsaboot, “Aram na palan an ginibo ko.”","Ug siya mitubag, “Kinsa ba ang naghimo kanimo nga pangulo ug maghuhukom kanamo? Naghunahuna ba ikaw sa pagpatay kanako sama sa pagpatay nimo sa Ehiptohanon?” Unya si Moises nahadlok ug miingon sa iyang kaugalingon, “Ang mga tawo nahibalo diay sa nahitabo.”"
Exodus,2,15,"Kan maaraman kan hade an nangyari, naghingowa siyang gadanon si Moises, alagad nagdulag ini pasiring sa Midian tanganing duman na mag-erok.","Ug sa pagkadungog sa Paraon mahitungod niini, nagtinguha siya sa pagpatay kang Moises. Apan si Moises mikagiw gikan sa Paraon ug mipuyo sa yuta sa Midian. Ug milingkod siya duol sa usa ka atabay."
Exodus,2,16,"Kan nagtutukaw si Moises sa may bubon, uminabot an pitong aking daraga ni Jetro na padi kan Midian, tanganing magharok nin tubig para sa mga raraan kan mga karnero asin kanding kan saindang ama.",Unya ang pari sa Midian adunay pito ka anak nga babaye ug miadto sila sa pagkalos ug tubig ug gipuno nila ang mga pasungan nga imnanan sa mga karnero sa ilang amahan.
Exodus,2,17,May nag-abot man na mga pastor asin pinalayas sinda. Alagad sinurog ni Moises an mga babae asin pinainom an mga hayop ninda.,Unya nangabot ang mga tigbantay sa karnero ug gipapahawa sila. Apan si Moises mitindog ug mitabang kanila ug mipainom sa ilang mga karnero.
Exodus,2,18,"Pagpuli ninda, naghapot an saindang ama, “Tadaw ta naamay kamo ngunyan?”","Sa ilang pagpauli, ang ilang amahan nga si Reuel miingon kanila, “Nganong sayo man kamong miabot karong adlawa?”"
Exodus,2,19,"“Sinurog kaya kami nin sarong Egipcio kan palayason kami kan mga pastor,” an simbag ninda. “Ihinarok pa ngani niya kami nin tubig dangan pinainom an mga hayop.”","Ug sila mitubag, “Usa ka Ehiptohanon miluwas kanamo gikan sa kamot sa mga tigbantay sa karnero ug siya pa gani ang mikalos ug tubig alang kanamo, ug gipainom ang mga karnero.”"
Exodus,2,20,“Haen siya?” an hapot ni Jetro sa saiyang mga aki. “Tano ta binayaan nindo siya duman? Balik kamo asin alokon nindo siyang magkakan digdi sato.”,"Siya miingon sa iyang mga anak nga babaye, “Hain man siya? Nganong gibiyaan man ninyo siya? Tawga ninyo siya aron makakaon”"
Exodus,2,21,Pinagmarahay ni Moises na duman na mag-erok. Dangan ipinaagom ni Jetro saiya an aki niyang si Zippora.,Ug si Moises miuyon sa pagpuyo uban niadtong tawhana ug iyang gihatag kang Moises ang iyang anak nga babaye nga si Zipora.
Exodus,2,22,"Nag-aki si Zippora nin lalaki. Nagsaboot si Moises, “Ngangaranan ko siyang Gersom huli ta saro akong dayuhan sa dagang ini.”","Ug siya nanganak ug usa ka bata nga lalaki ug gitawag ni Moises ug Gersom, kay siya miingon, “Nahimo akong langyaw sa laing yuta.”"
Exodus,2,23,"Pakalihis nin halawig na panahon, nagadan an hade nin Egipto, alagad an mga Israelita padagos na nasa kaoripnan. Kaya nag-agrangay sinda sa sobrang pagtios—inagrangay na nakaabot sa Dios.","Human sa taas nga panahon, namatay ang hari sa Ehipto. Ug ang katawhan sa Israel nag-agulo tungod sa pagkaulipon ug nagpakitabang. Ug midangat sa Dios ang ilang pagtuaw tungod sa ilang pagkaulipon."
Exodus,2,24,"Nadangog sinda nin Dios asin nagiromdoman niya an saiyang tipan ki Abraham, ki Isaac asin ki Jacob.","Ug sa dihang nadungog sa Dios ang ilang mga pag-agulo, nahinumdom siya sa iyang kasabotan uban kang Abraham, kang Isaac ug kang Jacob."
Exodus,2,25,Nahiling niya an kamugtakan kan mga Israelita kaya naherak siya sainda.,Ug nakita sa Dios ang katawhan sa Israel ug ang Dios nahibalo sa ilang kahimtang.
Exodus,3,1,"Kan panahon na iyan si Moises iyo an nag-aataman kan mga karnero asin mga kanding kan panugangan niyang si Jetro, na padi kan Midian. Sarong aldaw, inalaw niya an mga hayop pasiring sa solnopan kan kalangtadan sagkod na nakaabot siya sa Sinai, an bukid nin Dios.","Samtang si Moises nagbantay sa panon sa mga hayop ni Jetro nga iyang ugangan nga pari sa Midian, iyang gidala ang panon sa mga hayop ngadto sa kasadpang bahin sa kamingawan ug miadto sa Horeb, ang bukid sa Dios."
Exodus,3,2,Nagpahiling saiya duman an anghel nin Kagurangnan sa laad nin kalayo na naghahale sa tahaw kan sarong marambong na tinanom. Nahiling niya na nagkakalayo an marambong na tinanom alagad dai man ini nasusulo.,Didto ang anghel sa Ginoo mipakita kaniya pinaagi sa usa ka siga sa kalayo sa taliwala sa usa ka sampinit. Ug siya mitan-aw ug nakita niya nga ang sampinit nagsiga apan wala kini maugdaw.
Exodus,3,3,“Makangangalas!” an sabi niya. “Ranihon ko daw asin hilingon kun tano ta dai ini nasusulo.”,"Unya si Moises miingon, “Moadto ako ug tan-awon nako kining talagsaong talan-awon, kon ngano nga wala maugdaw ang sampinit.”"
Exodus,3,4,"Kan mahiling nin Kagurangnan na nagrarani si Moises, nag-apod siya hale sa tahaw kan nagkakalayong tinanom, “Moises! Moises!” “Uya ako,” an simbag ni Moises.","Sa dihang nakita sa Ginoo nga si Moises miadto aron sa pagtan-aw niini, ang Dios mitawag kaniya gikan sa sampinit, “Moises, Moises!” Ug siya miingon, “Ania ako.”"
Exodus,3,5,"Nagtaram an Kagurangnan , “Dai ka magrani. Halea an saimong mga sandalyas, huli ta banal an lugar na saimong natitindogan.","Unya ang Dios miingon, “Ayaw pagduol. Huboa ang imong mga sandalyas gikan sa imong mga tiil, kay ang dapit nga imong gitindogan yuta nga balaan.”"
Exodus,3,6,"Ako an Dios nin saimong mga magurang, an Dios ni Abraham, ni Isaac, asin ni Jacob.” Kaya tinahoban ni Moises an saiyang lalawogon huli ta natakot siyang maghiling sa Dios.","Ug siya miingon, “Ako mao ang Dios sa imong amahan, ang Dios ni Abraham, ang Dios ni Isaac ug ang Dios ni Jacob.” Unya gitago ni Moises ang iyang nawong kay siya nahadlok nga motan-aw sa Dios."
Exodus,3,7,"Nagtaram pa an Kagurangnan , “Nahiling ko an grabeng kasakitan kan sakong banwaan sa Egipto. Nadangog ko an saindang inagrangay na iligtas sinda sa mga nag-ooripon sa sainda. Naaaraman ko an gabos nindang tinitios,","Unya ang Ginoo miingon, “Nakita nako ang kasakit sa akong katawhan nga atua sa Ehipto ug nadungog nako ang ilang pagtuaw tungod sa mga tigdumala sa buhat ug nahibaloan nako ang ilang kasakitan."
Exodus,3,8,"kaya naghilig ako tanganing iligtas sinda sa mga Egipcio asin darahon sa dagang matubang, mahiwas asin mayaman sa gabos na bagay. Dadarahon ko sinda sa dagang pinag-eerokan ngunyan kan mga Cananeo, Heteo, Amoreo, Perezeo, Heveo asin Jebuseo.","Busa nanaog ako sa pagluwas kanila gikan sa kamot sa mga Ehiptohanon, ug sa pagkuha kanila gikan niadtong yutaa ngadto sa usa ka maayo ug lapad nga yuta, sa yuta diin nag-agas ang gatas ug dugos, sa mga dapit sa mga Canaanhon, sa mga Hitihanon, sa mga Amorihanon, sa mga Perisihanon, sa mga Hibihanon ug sa mga Jebusihanon."
Exodus,3,9,Nadangog ko an inagrangay kan sakong banwaan asin nahiling ko an pag-api sainda kan mga Egipcio.,Ug karon ang pagtuaw sa katawhan sa Israel miabot kanako ug nakita nako kon giunsa sila pagdaogdaog sa mga Ehiptohanon.
Exodus,3,10,Ngunyan susugoon taka sa hade tanganing ikaluwas mo sa Egipto an mga Israelita na sakong banwaan.”,"Busa, dali, paadtoon ko ikaw ngadto sa Paraon aron kuhaon nimo ang akong katawhan, ang mga anak ni Israel gikan sa Ehipto.”"
Exodus,3,11,"Alagad nagsimbag si Moises sa Dios, “Siisay man ako na maduman sa hade nin Egipto tanganing iluwas sa saiyang nasyon an mga Israelita?”","Apan si Moises miingon sa Dios, “Kinsa ba ako nga moadto sa Paraon ug magkuha sa mga anak ni Israel gikan sa Ehipto?”"
Exodus,3,12,"Nagtaram an Dios, “Iibahan taka, asin iyan an patotoo na sinugo taka. Sa panahon na ikaluwas mo na sa Egipto an mga tawo, sasambahon nindo ako sa bukid na ini.”","Siya miingon, “Ako mag-uban kanimo ug kini mao ang ilhanan alang kanimo nga ikaw akong gisugo: sa dihang makuha na nimo ang katawhan gikan sa Ehipto, mag-alagad kamo sa Dios dinhi niining bukira.”"
Exodus,3,13,"Alagad nagsimbag si Moises, “Kun magduman ako sa mga Israelita asin magsabi sainda, ‘Sinugo ako kan Dios nin saindong mga ginikanan,’ dangan hapoton ninda ako kun ano an saimong ngaran, ano an sasabihon ko?”","Unya si Moises miingon sa Dios, “Kon ako moadto sa katawhan sa Israel, ug moingon kanila, ‘Ang Dios sa inyong mga katigulangan nagsugo kanako nganhi kaninyo,’ ug kon sila mangutana kanako, ‘Unsay iyang ngalan?’ unsa ang isulti nako kanila?”"
Exodus,3,14,"Nagtaram an Dios, “AKO IYO AKO. Sabihan mo sinda: ‘An inaapod na IYO AKO an nagsugo sako sa saindo.’","Ug ang Dios miingon kang Moises, “AKO MAO AKO.” Ug siya miingon, “Isulti kini sa katawhan sa Israel, ‘Siya nga miingon nga “AKO MAO” mao ang nagsugo kanako nganhi kaninyo.’ ”"
Exodus,3,15,"Sabihan mo man an mga Israelita na an Kagurangnan , an Dios kan saindang mga ginikanan, ni Abraham, ni Isaac, asin ni Jacob, iyo an nagsugo saimo sa sainda. Iyo ini an sakong ngaran sagkod pa man. Gigiromdomon ako sa ngaran na ini sa gabos na henerasyon.","Ang Dios miingon usab kang Moises, “Mao kini ang isulti nimo sa katawhan sa Israel, ‘Si Yahweh, , ang Dios sa inyong mga katigulangan, ang Dios ni Abraham, ang Dios ni Isaac ug ang Dios ni Jacob, nagsugo kanako nganhi kaninyo.’ Kini mao ang akong ngalan hangtod sa kahangtoran ug mao nga mahinumdoman ako sa tanang kaliwatan."
Exodus,3,16,"Lakaw asin tipona an mga lider nin Israel dangan sabihan mo sinda na Ako, an Kagurangnan , an Dios kan saindang mga ginikanan, an Dios ni Abraham, ni Isaac, asin ni Jacob nagpahiling saimo. Sabihan mo na dinalaw ko sinda asin nahiling ko kun ano an ginigibo sainda kan mga Egipcio.","Lakaw ug tigoma ang mga kadagkoan sa Israel ug ingna sila, ‘Si Yahweh, ang Dios sa inyong mga katigulangan, ang Dios ni Abraham, ni Isaac ug ni Jacob, mitungha kanako nga nag-ingon, “Ako nagtan-aw kaninyo ug sa gibuhat kaninyo didto sa Ehipto."
Exodus,3,17,"Nangangako ako na iluluwas ko sinda sa Egipto na nag-ooripon sa sainda asin dadarahon ko sinda sa mayaman saka matubang na daga kan mga Cananeo, Heteo, Amoreo, Perezeo, Heveo, asin Jebuseo.","Ug ako nagsaad sa pagkuha kaninyo gikan sa kalisdanan sa Ehipto ngadto sa yuta sa mga Canaanhon, sa mga Hitihanon, sa mga Amorihanon, sa mga Perisihanon, sa mga Hibihanon ug sa mga Jebusihanon, usa ka yuta diin nag-agas ang gatas ug dugos.” ’"
Exodus,3,18,"“Dadangogon ka kan sakong banwaan; dangan, kaiba an mga lider nin Israel, magduman kamo sa hade nin Egipto asin sabihan nindo siya, ‘An Kagurangnan , an Dios kan mga Hebreyo, nagpahiling sa samo. Ngunyan, tugote kaming maglakaw nin tolong aldaw pasiring sa kalangtadan tanganing mag-atang sa Kagurangnan , na samuyang Dios.’","Sila mamati sa imong tingog ug ikaw ug ang mga pangulo sa Israel moadto sa hari sa Ehipto ug moingon kaniya, ‘Si Yahweh, ang Dios sa mga Hebreo, nagpakita kanamo, ug karon naghangyo kami kanimo sa pagtugot kanamo sa paglakaw ug tulo ka adlaw nga panaw ngadto sa kamingawan aron maghalad kami ngadto kang Yahweh nga among Dios.’"
Exodus,3,19,Aram kong dai matugot an hade na maghale kamo sagkod na dai siya mapiritan.,"Nahibalo ako nga ang hari sa Ehipto dili motugot kaninyo sa paglakaw, gawas kon pinaagi sa usa ka gamhanang kamot."
Exodus,3,20,Kaya gagamiton ko an sakong kapangyarihan asin papadusahan ko an Egipto sa paagi nin makangingirhat na mga bagay na gigibohon ko duman. Pakatapos kaiyan papahaleon na niya kamo.,"Busa tuy-oron nako ang akong kamot ug hampakon nako ang Ehipto pinaagi sa tanang mga katingalahan nga buhaton nako taliwala niini, ug human niana tugotan kamo niya sa paglakaw."
Exodus,3,21,"“Gigibohon kong igalang kamo kan mga Egipcio tanganing paghale nindo, may dara kamo.","Ug ako maghimo niining katawhan nga kahimut-an sa mga mata sa mga Ehiptohanon, ug sa paglakaw ninyo, dili kamo molakaw nga walay mga dala."
Exodus,3,22,"An lambang babaeng Israelita mahagad nin gubing, alahas na plata asin bulawan sa saiyang mga kataed o sa mga Egipciong nag-eerok sa saiyang harong. Isusulot ninda iyan sa saindang mga aki, kaya madadara ninda an kayamanan kan mga Egipcio.”","Apan ang matag babaye mangayo ug mga alahas nga plata, mga alahas nga bulawan ug mga bisti gikan sa iyang silingan ug sa babaye nga nag-abot sa iyang balay, ug ipanul-ob ninyo kini sa inyong mga anak nga lalaki ug sa inyong mga anak nga babaye. Niining paagiha makuhaan ninyo ug bahandi ang mga Ehiptohanon.”"
Exodus,4,1,"Dangan naghapot si Moises sa Kagurangnan , “Halimbawang dai magtubod asin magdangog sako an mga Israelita, ano an gigibohon ko kun magsabi sindang dai ka man nagpahiling sa sako?”","Unya si Moises mitubag, “Apan dili sila motuo kanako ug dili mamati sa akong tingog, kay sila moingon, ‘Ang Ginoo wala magpakita kanimo.’ ”"
Exodus,4,2,"Kaya hinapot man siya nin Kagurangnan , “Ano iyan na nakakapotan mo?” “Sarong sugkod,” an simbag ni Moises.","Ug ang Ginoo miingon, “Unsa man kanang anaa sa imong kamot?” Ug siya miingon, “Usa ka sungkod.”"
Exodus,4,3,"Nagtaram an Kagurangnan , “Tapokan iyan sa daga.” Pagkatapokan ni Moises kan sugkod, nagin halas idto, kaya duminulag siya.","Siya miingon kaniya, “Ilabay kana sa yuta.” Busa iya kining gilabay sa yuta ug nahimo kining usa ka bitin. Ug si Moises mipalayo gikan niini."
Exodus,4,4,"Dangan tinaraman nin Kagurangnan si Moises, “Dakopa sa ikog an halas.” Kaya dinakop ni Moises an halas asin ini nagin sugkod giraray.","Unya ang Ginoo miingon kang Moises, “Tuy-ora ang imong kamot ug kupti kini sa ikog.” Ug iyang gituy-od ang iyang kamot ug gikuptan niya kini ug nahimo na usab kini nga sungkod diha sa iyang kamot."
Exodus,4,5,"Nagtaram an Kagurangnan , “Arog kaiyan an gibohon mo tanganing tumubod an mga Israelita na nagpahiling saimo an Kagurangnan , an Dios kan saindang mga ginikanan, an Dios ni Abraham, ni Isaac, asin ni Jacob.”","“Unya sila motuo nga nagpakita kanimo ang Ginoo , ang Dios sa ilang mga katigulangan, ang Dios ni Abraham, ang Dios ni Isaac ug ang Dios ni Jacob.”"
Exodus,4,6,"Nagtaram pa an Kagurangnan ki Moises, “Laogan an saimong kamot sa saimong gubing sa may daghan.” Nagsunod si Moises; kan iluwas niya ini, maputi nang marahay huli sa daot.","Ang Ginoo miingon pag-usab kaniya, “Ibutang ang imong kamot sa imong dughan ilalom sa imong kupo.” Ug gibutang niya ang iyang kamot sa ilalom sa iyang kupo, ug sa iyang pagkuha niini, ang iyang kamot gisanla ug puti kaayo."
Exodus,4,7,"“Laogan giraray an saimong kamot,” pasunod nin Dios ki Moises. Ilinaog niya ini asin kan iluwas niya giraray, an saiyang kamot mayo nang daot.","Unya ang Dios miingon, “Ibalik pagbutang ang imong kamot sa imong dughan ilalom sa imong kupo.” Ug iyang gibalik pagbutang ang iyang kamot sa ilalom sa iyang kupo ug sa iyang pagkuha niini, naulian kini sama sa ubang bahin sa iyang lawas."
Exodus,4,8,"Nagtaram an Dios, “Kun dai ka ninda tubodan sa enot na ngangalasan pwedeng sa ikaduwa.","Ang Dios miingon, “Kon sila dili motuo kanimo o magtagad sa una nga ilhanan, sila mahimong motuo sa ikaduhang ilhanan."
Exodus,4,9,"Kun habo pa nanggad sindang magtubod sa duwang ngangalasan na ini asin habong magdangog saimo, kumua ka nin tubig sa Salog nin Nilo asin iula mo sa mamarang daga. An tubig magigin dugo.”","Kon dili pa gayod sila motuo niining duha ka ilhanan o mamati sa imong tingog, pagkuha ug tubig sa suba sa Nilo ug ibubo kini sa yuta. Ug ang tubig nga imong kuhaon sa suba mahimong dugo ibabaw sa yuta.”"
Exodus,4,10,"Alagad nagsabi si Moises, “Hare ako pagsugoa, Kagurangnan . Maluya asin kamol akong magtaram. Dati akong maluyang magtaram poon kaidto sagkod ngunyan na makipag-olay ka sako.”","Apan si Moises miingon sa Ginoo , “O akong Ginoo, dili ako maayong manulti bisan hangtod karon ug bisan sukad sa imong pagpakigsulti sa imong ulipon; kay ako hinay nga mosulti ug yungit ug dila.”"
