book,chapter,verse,text_Spanish,text_Tagalog
Genesis,1,12,"Comenzó a brotar la vegetación: hierbas que dan semilla y árboles que dan fruto con semilla, todos según su especie. Y Dios consideró que esto era bueno.","At ang lupa ay sinibulan ng halaman, ng mga tanim na nagkakabinhi ayon sa kanyang sariling uri at ng punungkahoy na namumunga ayon sa kanyang binhi, bawat isa ayon sa kanyang uri. At nakita ng Diyos na ito ay mabuti."
Genesis,1,13,Vino la noche y llegó la mañana: ese fue el tercer día.,Nagkaroon ng gabi at nagkaroon ng umaga nang ikatlong araw.
Genesis,1,14,"Y dijo Dios: «¡Que haya luces en la expansión del cielo que separen el día de la noche; que sirvan como señales de las estaciones, de los días y de los años,","Sinabi ng Diyos, “Magkaroon ng mga tanglaw sa kalawakan ng langit upang ihiwalay ang araw sa gabi; at ang mga ito ay maging palatandaan para sa mga panahon, sa mga araw, at sa mga taon,"
Genesis,1,15,y que brillen en la expansión del cielo para iluminar la tierra!». Y sucedió así.,at ang mga ito ay maging tanglaw sa kalawakan ng langit upang tumanglaw sa ibabaw ng lupa.” At ito ay nangyari.
Genesis,1,16,Dios hizo los dos grandes astros: el astro mayor para gobernar el día y el menor para gobernar la noche. También hizo las estrellas.,Nilikha ng Diyos ang dalawang malalaking tanglaw; ang malaking tanglaw ay upang maghari sa araw at ang maliit na tanglaw ay upang maghari sa gabi. Nilikha rin niya ang mga bituin.
Genesis,1,17,Dios colocó en la expansión del cielo los astros para alumbrar la tierra.,"Ang mga ito ang inilagay ng Diyos sa kalawakan ng langit upang tumanglaw sa ibabaw ng lupa,"
Genesis,1,18,Los hizo para gobernar el día y la noche y para separar la luz de las tinieblas. Y Dios consideró que esto era bueno.,"upang mamahala sa araw at sa gabi, at upang ihiwalay ang liwanag sa kadiliman. At nakita ng Diyos na ito ay mabuti."
Genesis,1,19,Vino la noche y llegó la mañana: ese fue el cuarto día.,Lumipas ang gabi at sumapit ang umaga nang ikaapat na araw.
Genesis,1,20,Y dijo Dios: «¡Que las aguas se llenen de seres vivientes y que vuelen las aves sobre la tierra a lo largo de la expansión del cielo!».,"Sinabi ng Diyos, “Hayaang bumukal mula sa tubig ang maraming nilalang na may buhay, at magsilipad ang mga ibon sa ibabaw ng lupa sa kalawakan ng langit.”"
Genesis,1,21,"Y creó Dios los grandes animales marinos, todos los seres vivientes que se mueven y llenan las aguas; también creó todas las aves, según su especie. Y Dios consideró que esto era bueno","Kaya't nilikha ng Diyos ang mga dambuhala sa dagat at ang bawat nilalang na may buhay na gumagalaw na ibinukal ng tubig ayon sa kanya-kanyang uri at ang lahat ng ibong may pakpak, ayon sa kanya-kanyang uri. At nakita ng Diyos na ito ay mabuti."
Genesis,1,22,y los bendijo con estas palabras: «¡Sean fructíferos y multiplíquense; llenen las aguas de los mares! ¡Que las aves se multipliquen sobre la tierra!».,"At sila'y binasbasan ng Diyos, “Kayo'y magkaroon ng mga anak at magpakarami at inyong punuin ang tubig sa mga dagat, at magpakarami ang mga ibon sa lupa.”"
Genesis,1,23,Vino la noche y llegó la mañana: ese fue el quinto día.,Nagkaroon ng gabi at nagkaroon ng umaga nang ikalimang araw.
Genesis,1,24,"Y dijo Dios: «¡Que produzca la tierra seres vivientes: animales domésticos, animales salvajes y reptiles, según su especie!». Y sucedió así.","Sinabi ng Diyos, “Magkaroon ang lupa ng mga buháy na nilalang, ayon sa kanya-kanyang uri: ng mga hayop at mga nilalang na gumagapang, at ng maiilap na hayop sa lupa ayon sa kanya-kanyang uri.” At ito ay nangyari."
Genesis,1,25,"Dios hizo los animales domésticos, los animales salvajes y todos los animales que se arrastran por el suelo, según su especie. Y Dios consideró que esto era bueno.","Nilikha ng Diyos ang maiilap na hayop sa lupa ayon sa kani-kanilang uri, at maaamong hayop ayon sa kani-kanilang uri, at ang bawat gumagapang sa ibabaw ng lupa ayon sa kanilang uri. At nakita ng Diyos na ito ay mabuti."
Genesis,1,26,"Luego dijo Dios: «Hagamos al ser humano a nuestra imagen y semejanza. Que tenga dominio sobre los peces del mar y sobre las aves del cielo; sobre los animales domésticos, sobre los animales salvajes y sobre todos los animales que se arrastran por el suelo».","Sinabi ng Diyos, “Lalangin natin ang tao sa ating larawan, ayon sa ating wangis; at magkaroon sila ng pamamahala sa mga isda sa dagat, sa mga ibon sa himpapawid, sa mga hayop, sa buong lupa, at sa bawat gumagapang sa ibabaw ng lupa.”"
Genesis,1,27,Y Dios creó al ser humano a su imagen; lo creó a imagen de Dios; hombre y mujer los creó.,"Kaya't nilalang ng Diyos ang tao ayon sa kanyang sariling larawan, ayon sa larawan ng Diyos siya nilalang. Sila'y kanyang nilalang na lalaki at babae."
Genesis,1,28,"Y Dios los bendijo con estas palabras: «¡Sean fructíferos y multiplíquense; llenen la tierra y sométanla; dominen a los peces del mar y a las aves del cielo, y a todos los animales que se arrastran por el suelo!».","Sila'y binasbasan ng Diyos at sa kanila'y sinabi ng Diyos, “Kayo'y magkaroon ng mga anak at magpakarami, punuin ninyo ang lupa at supilin ninyo ito. Magkaroon kayo ng pamamahala sa mga isda sa dagat, sa mga ibon sa himpapawid, at sa bawat bagay na may buhay na gumagalaw sa ibabaw ng lupa.”"
Genesis,1,29,También dijo: «Yo les doy de la tierra todas las plantas que producen semilla y todos los árboles que dan fruto con semilla; todo esto les servirá de alimento.,"Sinabi ng Diyos, “Tingnan ninyo, ibinigay ko sa inyo ang bawat halaman na nagkakabinhi na nasa ibabaw ng lupa, at ang bawat punungkahoy na may binhi sa loob ng bunga; ang mga ito ay magiging pagkain ninyo."
Genesis,1,30,"Y doy la hierba verde como alimento a todas las fieras de la tierra, a todas las aves del cielo y a todos los seres vivientes que se arrastran por la tierra». Y así sucedió.","Sa bawat mailap na hayop sa lupa, at sa bawat ibon sa himpapawid, at sa bawat gumagapang sa ibabaw ng lupa, sa bawat bagay na may hininga ng buhay ay ibinigay ko ang lahat ng halamang luntian bilang pagkain.” At ito ay nangyari."
Genesis,1,31,Dios miró todo lo que había hecho y consideró que era muy bueno. Vino la noche y llegó la mañana: ese fue el sexto día.,Nakita ng Diyos ang lahat ng kanyang nilikha at ito ay napakabuti. Nagkaroon ng gabi at nagkaroon ng umaga nang ikaanim na araw.
Genesis,2,1,Así quedaron terminados los cielos y la tierra y todo lo que hay en ellos.,"Nayari ang langit at ang lupa, at ang lahat ng mga bagay sa mga iyon."
Genesis,2,2,"Al llegar el séptimo día, Dios descansó porque había terminado toda la obra que había emprendido.","Nang ikapitong araw ay natapos ng Diyos ang gawain na kanyang ginawa, at nagpahinga siya nang ikapitong araw mula sa lahat ng gawaing kanyang ginawa."
Genesis,2,3,Dios bendijo el séptimo día y lo santificó porque en ese día descansó de toda su obra creadora. Adán y Eva,"At binasbasan ng Diyos ang ikapitong araw at kanyang ginawang banal, sapagkat sa araw na iyon ay nagpahinga ang Diyos sa lahat ng gawain na kanyang ginawa."
Genesis,2,4,Esta es la historia de la creación de los cielos y la tierra. Dios el Señor hizo la tierra y los cielos.,"Ito ang kasaysayan tungkol sa langit at lupa, sa araw na likhain ng Panginoong Diyos ang langit at lupa. Ang Halamanan ng Eden"
Genesis,2,5,"No había ningún arbusto del campo sobre la tierra ni había brotado la hierba, porque Dios el Señor todavía no había hecho llover sobre la tierra ni existía el hombre para que la cultivara.","Nang sa lupa ay wala pang tanim sa parang, at wala pang damo na tumutubo sa parang,—sapagkat hindi pa nagpapaulan ang Panginoong Diyos sa lupa at wala pang taong nagbubungkal ng lupa,"
Genesis,2,6,"No obstante, de la tierra salía un manantial que regaba toda la superficie del suelo.",ngunit may isang ulap na pumaitaas buhat sa lupa at dinilig ang buong kapatagan ng lupa.
Genesis,2,7,Y Dios el Señor formó al ser humano del polvo del suelo; entonces sopló en su nariz aliento de vida y el hombre se convirtió en un ser viviente.,"At nilalang ng Panginoong Diyos ang tao mula sa alabok ng lupa, at hiningahan ang mga butas ng kanyang ilong ng hininga ng buhay; at ang tao ay naging buháy na kaluluwa."
Genesis,2,8,Dios el Señor plantó un jardín al oriente del Edén y allí puso al hombre que había formado.,"Naglagay ang Panginoong Diyos ng isang halamanan sa silangan ng Eden, at inilagay niya roon ang taong kanyang nilalang."
Genesis,2,9,Dios el Señor hizo que creciera toda clase de árboles atractivos a la vista y buenos para comer. En medio del jardín hizo crecer el árbol de la vida y también el árbol del conocimiento del bien y del mal.,"At pinatubo ng Panginoong Diyos sa lupa ang lahat ng punungkahoy na nakakalugod sa paningin, at mabuting kainin; gayundin ang punungkahoy ng buhay sa gitna ng halamanan, at ang punungkahoy ng pagkaalam ng mabuti at masama."
Genesis,2,10,Del Edén nacía un río que regaba el jardín y desde allí se dividía en cuatro ríos menores.,"May isang ilog na lumabas mula sa Eden upang diligin ang halamanan, at mula roo'y nahati at naging apat na ilog."
Genesis,2,11,"El primero se llamaba Pisón y recorría toda la región de Javilá, donde había oro.","Ang pangalan ng una ay Pishon na siyang umaagos sa palibot ng buong lupain ng Havila, na doo'y may ginto;"
Genesis,2,12,El oro de esa región era fino; también había allí resina muy buena y piedra de ónice.,at ang ginto sa lupang iyon ay mabuti; mayroon doong bedelio at batong onix.
Genesis,2,13,"El segundo se llamaba Guijón, que recorría toda la región de Cus.",Ang pangalan ng ikalawang ilog ay Gihon; na siyang umaagos sa palibot ng buong lupain ng Cus.
Genesis,2,14,"El tercero se llamaba Tigris, que corría al este de Asiria. El cuarto era el Éufrates.",Ang pangalan ng ikatlong ilog ay Tigris na siyang umaagos sa silangan ng Asiria. At ang ikaapat na ilog ay ang Eufrates.
Genesis,2,15,Dios el Señor tomó al hombre y lo puso en el jardín del Edén para que lo cultivara y lo cuidara.,Kinuha ng Panginoong Diyos ang lalaki at inilagay sa halamanan ng Eden upang ito ay kanyang bungkalin at ingatan.
Genesis,2,16,"Dios el Señor le ordenó al hombre: «Puedes comer de todos los árboles del jardín,","At iniutos ng Panginoong Diyos sa lalaki, na sinabi, “Malaya kang makakakain mula sa lahat ng punungkahoy sa halamanan,"
Genesis,2,17,"pero del árbol del conocimiento del bien y del mal no deberás comer. El día que de él comas, sin duda morirás».",subalit mula sa punungkahoy ng pagkakilala ng mabuti at masama ay huwag kang kakain; sapagkat sa araw na ikaw ay kumain niyon ay tiyak na mamamatay ka.”
Genesis,2,18,Luego Dios el Señor dijo: «No es bueno que el hombre esté solo. Voy a hacerle una ayuda adecuada».,"At sinabi ng Panginoong Diyos, “Hindi mabuti na ang lalaki ay nag-iisa; siya'y igagawa ko ng isang katuwang na nababagay sa kanya.”"
Genesis,2,19,Entonces Dios el Señor formó de la tierra toda ave del cielo y todo animal del campo. Se los llevó al hombre para ver qué nombre les pondría. El hombre puso nombre a todos los seres vivos y con ese nombre se les conoce.,Kaya't mula sa lupa ay nilalang ng Panginoong Diyos ang lahat ng hayop sa parang at ang lahat ng ibon sa himpapawid; at dinala sa lalaki upang malaman kung anong itatawag niya sa mga iyon. At anuman ang itawag ng lalaki sa bawat buháy na nilalang ay siyang pangalan nito.
Genesis,2,20,"Así el hombre fue poniéndoles nombre a todos los animales domésticos, a todas las aves del cielo y a todos los animales del campo. Sin embargo, no se encontró entre ellos la ayuda adecuada para el hombre.","At pinangalanan ng lalaki ang lahat ng hayop at ang mga ibon sa himpapawid, at ang bawat hayop sa parang; subalit para sa lalaki ay walang nakitang katuwang na nababagay para sa kanya. Nilalang ang Babae mula sa Lalaki"
Genesis,2,21,"Entonces Dios el Señor hizo que el hombre cayera en un sueño profundo y, mientras este dormía, le sacó una costilla y cerró la herida.","Kaya't pinatulog nang mahimbing ng Panginoong Diyos ang lalaki, at habang siya'y natutulog, kinuha niya ang isa sa kanyang mga tadyang at pinaghilom ang laman sa lugar na iyon;"
Genesis,2,22,"De la costilla que le había quitado al hombre, Dios el Señor hizo una mujer y se la presentó al hombre,","at ang tadyang na kinuha ng Panginoong Diyos sa lalaki ay ginawang isang babae, at dinala siya sa lalaki."
Genesis,2,23,el cual exclamó: «Esta sí es hueso de mis huesos y carne de mi carne. Se llamará “mujer” porque del hombre fue sacada».,"At sinabi ng lalaki, “Sa wakas, ito'y buto ng aking mga buto at laman ng aking laman. Siya'y tatawaging Babae, sapagkat sa Lalaki siya kinuha.”"
Genesis,2,24,"Por eso dejará el hombre a su padre y a su madre, se unirá a su mujer, y los dos llegarán a ser uno solo.","Kaya't iniiwan ng lalaki ang kanyang ama at ang kanyang ina, at pumipisan sa kanyang asawa; at sila'y nagiging isang laman."
Genesis,2,25,"En ese tiempo el hombre y la mujer estaban desnudos, pero no se avergonzaban.","Ang lalaki at ang kanyang asawa ay kapwa hubad, ngunit sila'y hindi nahihiya."
Genesis,3,1,"La serpiente era más astuta que todos los animales del campo que Dios el Señor había hecho, así que preguntó a la mujer: —¿Conque Dios les dijo que no comieran de ningún árbol del jardín?","Ang ahas nga ay higit na tuso kaysa alinman sa mga mailap na hayop sa parang na nilikha ng Panginoong Diyos. Sinabi niya sa babae, “Sinabi ba ng Diyos, ‘Huwag ninyong kakainin ang mula sa alinmang punungkahoy sa halamanan?’”"
Genesis,3,2,—Podemos comer del fruto de todos los árboles —respondió la mujer—.,"At sinabi ng babae sa ahas, “Makakain namin ang bunga ng mga punungkahoy sa halamanan;"
Genesis,3,3,"Pero en cuanto al fruto del árbol que está en medio del jardín, Dios nos ha dicho: “No coman de ese árbol ni lo toquen; de lo contrario, morirán”.","subalit sinabi ng Diyos, ‘Huwag ninyong kakainin ang bunga ng punungkahoy na nasa gitna ng halamanan; huwag din ninyo itong hihipuin, kundi kayo'y mamamatay.’”"
Genesis,3,4,"Pero la serpiente dijo a la mujer: —¡No es cierto, no van a morir!","Subalit sinabi ng ahas sa babae, “Tiyak na hindi kayo mamamatay."
Genesis,3,5,"Dios sabe muy bien que cuando coman de ese árbol se les abrirán los ojos y llegarán a ser como Dios, conocedores del bien y del mal.","Sapagkat nalalaman ng Diyos na kapag kayo'y kumain noon ay mabubuksan ang inyong mga mata, at kayo'y magiging kagaya ng Diyos, na nakakakilala ng mabuti at masama.”"
Genesis,3,6,"La mujer vio que el fruto del árbol era bueno para comer, y que era atractivo a la vista y era deseable para adquirir sabiduría; así que tomó de su fruto y comió. Luego dio a su esposo, que estaba con ella, y él también comió.","Kaya't nang makita ng babae na ang bunga ng punungkahoy ay mabuting kainin, nakakalugod sa paningin, na dapat nasain upang maging matalino, siya ay pumitas ng bunga nito at kinain ito; at binigyan din niya ang kanyang asawa na kasama niya, at siya'y kumain."
Genesis,3,7,"En ese momento los ojos de ambos fueron abiertos y tomaron conciencia de su desnudez. Por eso, para cubrirse entretejieron hojas de higuera.","At parehong nabuksan ang kanilang mga mata, at nalaman nilang sila'y mga hubad. Magkasama silang nagtahi ng mga dahon ng puno ng igos, at kanilang ginawang panakip."
Genesis,3,8,"Cuando el día comenzó a refrescar, el hombre y la mujer oyeron que Dios el Señor andaba recorriendo el jardín; entonces corrieron a esconderse entre los árboles para que Dios no los viera.",Narinig nila ang tinig ng Panginoong Diyos na lumalakad sa halamanan sa malamig na bahagi ng maghapon. Nagtago ang lalaki at ang kanyang asawa sa Panginoong Diyos sa mga punungkahoy sa halamanan.
Genesis,3,9,Pero Dios el Señor llamó al hombre y dijo: —¿Dónde estás?,"Tinawag ng Panginoong Diyos ang lalaki at sa kanya'y sinabi, “Saan ka naroon?”"
Genesis,3,10,El hombre contestó: —Escuché que andabas por el jardín y tuve miedo porque estoy desnudo. Por eso me escondí.,"Sinabi niya, “Narinig ko ang iyong tinig sa halamanan at ako'y natakot, sapagkat ako'y hubad; at ako'y nagtago.”"
Genesis,3,11,—¿Y quién te ha dicho que estás desnudo? —preguntó Dios—. ¿Acaso has comido del fruto del árbol que yo te prohibí comer?,"At sinabi niya, “Sinong nagsabi sa iyong ikaw ay hubad? Kumain ka ba ng bunga ng punungkahoy, na iniutos ko sa iyong huwag mong kainin?”"
Genesis,3,12,Él respondió: —La mujer que me diste por compañera me dio de ese fruto y yo lo comí.,"Sinabi ng lalaki, “Ang babaing ibinigay mo na aking makakasama ang nagbigay sa akin ng bunga ng punungkahoy at ito'y aking kinain.”"
Genesis,3,13,"Entonces Dios el Señor preguntó a la mujer: —¿Qué es lo que has hecho? —La serpiente me engañó, y comí —contestó ella.","Sinabi ng Panginoong Diyos sa babae, “Ano itong iyong ginawa?” Sinabi ng babae, “Dinaya ako ng ahas, at ako'y kumain.” Ang Diyos ay Naggawad"
Genesis,3,14,"Dios el Señor dijo entonces a la serpiente: «Por causa de lo que has hecho, ¡maldita serás entre todos los animales, tanto domésticos como salvajes! Te arrastrarás sobre tu vientre y comerás polvo todos los días de tu vida.","Sinabi ng Panginoong Diyos sa ahas, “Sapagkat ginawa mo ito ay isinumpa ka nang higit sa lahat ng hayop, at nang higit sa bawat mailap na hayop sa parang; ang iyong tiyan ang ipanggagapang mo, at alabok ang iyong kakainin sa lahat ng mga araw ng iyong buhay."
Genesis,3,15,"Pondré enemistad entre tú y la mujer, y entre tu simiente y la de ella; su simiente te aplastará la cabeza, pero tú le herirás el talón».","Maglalagay ako sa iyo at sa babae ng pagkapoot sa isa't isa, at sa iyong binhi at sa kanyang binhi. Ito ang dudurog ng iyong ulo, at ikaw ang dudurog ng kanyang sakong.”"
Genesis,3,16,"A la mujer dijo: «Multiplicaré tu sufrimiento en el parto y darás a luz a tus hijos con dolor. Desearás a tu marido, y él te dominará».","Sinabi niya sa babae, “Pararamihin ko ang paghihirap mo sa iyong paglilihi; manganganak kang may paghihirap, ngunit ang iyong pagnanais ay para sa iyong asawa, at siya ang mamumuno sa iyo.”"
Genesis,3,17,"Al hombre dijo: «Por cuanto hiciste caso a tu esposa y comiste del árbol del que te prohibí comer, ¡maldito será el suelo por tu culpa! Con sufrimiento comerás de él todos los días de tu vida.","At kay Adan ay kanyang sinabi, “Sapagkat nakinig ka sa tinig ng iyong asawa, at kumain ka ng bunga ng punungkahoy na aking iniutos sa iyo na, ‘Huwag kang kakain niyon,’ sumpain ang lupa dahil sa iyo. Kakain ka mula sa kanya sa pamamagitan ng iyong mabigat na paggawa sa lahat ng mga araw ng iyong buhay;"
Genesis,3,18,"La tierra te producirá cardos y espinas, y comerás hierbas silvestres.","mga tinik at dawag ang sisibol doon para sa iyo, at kakain ka ng tanim sa parang."
Genesis,3,19,"Te ganarás el pan con el sudor de tu frente, hasta que vuelvas a la misma tierra de la cual fuiste sacado. Porque polvo eres y al polvo volverás».","Sa pawis ng iyong mukha ay kakain ka ng tinapay, hanggang ikaw ay bumalik sa lupa; sapagkat diyan ka kinuha. Ikaw ay alabok at sa alabok ka babalik.”"
Genesis,3,20,El hombre llamó Eva a su mujer porque ella sería la madre de todo ser viviente.,Tinawag ng lalaki ang kanyang asawa na Eva sapagkat siya ang naging ina ng lahat ng mga nabubuhay.
Genesis,3,21,"Dios el Señor hizo ropa de pieles para el hombre y su mujer, y los vistió.",At iginawa ng Panginoong Diyos si Adan at ang kanyang asawa ng mga kasuotang balat at sila'y dinamitan. Pinalayas sina Adan at Eva sa Halamanan
Genesis,3,22,"Y Dios el Señor dijo: «El ser humano ha llegado a ser como uno de nosotros, pues tiene conocimiento del bien y del mal. No vaya a ser que extienda su mano y también tome del fruto del árbol de la vida, lo coma y viva para siempre».","Sinabi ng Panginoong Diyos, “Tingnan ninyo, ang tao'y naging parang isa sa atin, na nakakakilala ng mabuti at ng masama; at ngayon, baka iunat ang kanyang kamay at pumitas din ng bunga ng punungkahoy ng buhay, at kumain, at mabuhay magpakailanman.”"
Genesis,3,23,Entonces Dios el Señor expulsó al ser humano del jardín del Edén para que trabajara la tierra de la cual había sido hecho.,Kaya't pinalayas siya ng Panginoong Diyos sa halamanan ng Eden upang kanyang bungkalin ang lupaing pinagkunan sa kanya.
Genesis,3,24,"Luego de expulsarlo, puso al oriente del jardín del Edén a los querubines y una espada ardiente que se movía por todos lados para custodiar el camino que lleva al árbol de la vida.","At kanyang itinaboy ang lalaki; at inilagay sa silanganan ng halamanan ng Eden ang mga kerubin at ang isang nagniningas na tabak na umiikot, upang bantayan ang daang patungo sa punungkahoy ng buhay."
Genesis,4,1,"El hombre tuvo relaciones sexuales con Eva, su mujer, y ella quedó embarazada y dio a luz a Caín. Y dijo: «¡Con la ayuda del Señor , he tenido un varón!».","At nakilala ng lalaki si Eva na kanyang asawa, at siya'y naglihi at ipinanganak si Cain, at sinabi, “Nagkaanak ako ng lalaki sa tulong ng Panginoon .”"
Genesis,4,2,"Después dio a luz a Abel, hermano de Caín. Abel se dedicó a pastorear ovejas, mientras que Caín se dedicó a trabajar la tierra.",Kasunod nito ay ipinanganak niya ang kanyang kapatid na si Abel. Si Abel ay tagapag-alaga ng mga tupa at si Cain ay magbubungkal ng lupa.
Genesis,4,3,"Tiempo después, Caín presentó al Señor una ofrenda del fruto de la tierra.",Sa paglipas ng panahon ay nagdala si Cain ng isang handog sa Panginoon mula sa mga bunga ng lupa.
Genesis,4,4,"Abel también presentó al Señor lo mejor de su rebaño, es decir, los primogénitos con su grasa. Y el Señor miró con agrado a Abel y a su ofrenda,","Nagdala rin si Abel ng mga panganay ng kanyang kawan, ang taba ng mga iyon. At pinahalagahan ng Panginoon si Abel at ang kanyang handog,"
Genesis,4,5,pero no miró así a Caín ni a su ofrenda. Por eso Caín se enfureció y andaba cabizbajo.,"subalit hindi niya pinahalagahan si Cain at ang kanyang handog. Galit na galit si Cain, at nagngitngit ang kanyang mukha."
Genesis,4,6,Entonces el Señor le dijo: «¿Por qué estás tan enojado? ¿Por qué andas cabizbajo?,"Sinabi ng Panginoon kay Cain, “Bakit ka nagalit at bakit nagngitngit ang iyong mukha?"
Genesis,4,7,"Si hicieras lo bueno, podrías andar con la frente en alto. Pero si haces lo malo, el pecado está a la puerta para dominarte. No obstante, tú puedes dominarlo».","Kung ikaw ay gumawa ng mabuti, hindi ka ba tatanggapin? At kung hindi ka gumawa ng mabuti, ang kasalanan ang nag-aabang sa pintuan. Ikaw ang nais nito, subalit kailangang madaig mo ito!” Ang Pagpatay kay Abel"
Genesis,4,8,"Caín habló con su hermano Abel. Y cuando estaban en el campo, Caín atacó a su hermano y lo asesinó.","Sinabihan ni Cain ang kanyang kapatid na si Abel, at nangyari nang sila'y nasa parang, tumindig si Cain laban kay Abel na kanyang kapatid, at ito'y kanyang pinatay."
Genesis,4,9,El Señor preguntó a Caín: —¿Dónde está tu hermano Abel? —No lo sé —respondió—. ¿Acaso soy yo el que debe cuidar a mi hermano?,"At sinabi ng Panginoon kay Cain, “Nasaan si Abel na iyong kapatid?” At sinabi niya, “Aywan ko! Ako ba'y tagapagbantay ng aking kapatid?”"
Genesis,4,10,"—¡Qué has hecho! —exclamó el Señor —. Desde la tierra, la sangre de tu hermano me reclama justicia.","Sinabi niya, “Ano ang ginawa mo? Ang tinig ng dugo ng iyong kapatid ay dumadaing sa akin mula sa lupa."
Genesis,4,11,"Por eso, ahora quedarás bajo la maldición de la tierra, la cual ha abierto sus fauces para recibir la sangre de tu hermano, que tú has derramado.",Ngayo'y sinumpa ka mula sa lupa. Ibinuka ng lupa ang bibig nito upang tanggapin ang dugo ng iyong kapatid mula sa iyong kamay.
Genesis,4,12,"Cuando cultives la tierra, no te dará sus frutos y en el mundo serás un fugitivo errante.","Kapag binungkal mo ang lupa, ito ay di na muling magbibigay sa iyo ng kanyang lakas. Ikaw ay magiging palaboy at pagala-gala sa lupa.”"
Genesis,4,13,—Este castigo es más de lo que puedo soportar —dijo Caín al Señor —.,"At sinabi ni Cain sa Panginoon , “Ang parusa sa akin ay higit kaysa makakaya ko."
Genesis,4,14,Hoy me condenas al destierro y nunca más podré estar en tu presencia. Andaré por el mundo errante como un fugitivo y cualquiera que me encuentre me matará.,"Ako ngayo'y itinataboy mo mula sa ibabaw ng lupa, at ako'y maikukubli sa iyong mukha. Ako'y magiging palaboy at pagala-gala, sinumang makakita sa akin ay papatayin ako.”"
Genesis,4,15,"—No, al contrario —respondió el Señor —, el que mate a Caín será castigado siete veces. Entonces el Señor puso una marca a Caín para que no lo matara cualquiera que lo encontrara.","At sinabi sa kanya ng Panginoon , “Hindi! Sinumang pumatay kay Cain ay pitong ulit na gagantihan.” At nilagyan ng Panginoon ng isang tanda si Cain upang huwag siyang patayin ng sinumang makakita sa kanya."
Genesis,4,16,"Así Caín se alejó de la presencia del Señor y se fue a vivir a la región llamada Nod, al este del Edén.","At umalis si Cain sa harapan ng Panginoon at nanirahan sa lupain ng Nod, sa silangan ng Eden. Ang mga Naging Anak ni Cain"
Genesis,4,17,"Caín tuvo relaciones sexuales con su mujer, la cual quedó embarazada y dio a luz a Enoc. Caín construyó una ciudad y le puso el nombre de su hijo Enoc.","Sumiping si Cain sa kanyang asawa, at siya'y naglihi at ipinanganak si Enoc. Siya'y nagtayo ng isang lunsod at tinawag ang lunsod ayon sa pangalan ng kanyang anak na si Enoc."
Genesis,4,18,"Enoc tuvo un hijo llamado Irad, que fue el padre de Mejuyael. Este a su vez fue el padre de Metusael, y Metusael fue el padre de Lamec.",Naging anak ni Enoc si Irad; at naging anak ni Irad si Mehujael; at naging anak ni Mehujael si Metusael; at naging anak ni Metusael si Lamec.
